quarter,region,state_name,district_name,bank_group,population_group,branch_category,number_of_offices,total_deposits_crore,total_credit_crore,reported_cd_ratio,cd_ratio,cd_ratio_category,deposits_per_branch_crore,credit_per_branch_crore
FY2018-Q1,Western,Maharashtra,Mumbai,Regional Rural Banks,Urban,Commercial Branches,2,224.24,203.56,90.78,90.78,Strained (High Credit Deployment),112.12,101.78
FY2018-Q1,Western,Maharashtra,Mumbai,Regional Rural Banks,Urban,Specialized Credit Cells,1,206.46,160.65,,77.81,Optimal Deployment,206.46,160.65
FY2018-Q1,Western,Maharashtra,Mumbai,Regional Rural Banks,Metropolitan,Commercial Branches,4,614.57,593.13,96.51,96.51,Strained (High Credit Deployment),153.64,148.28
FY2018-Q1,Western,Maharashtra,Mumbai,Regional Rural Banks,Metropolitan,Specialized Credit Cells,5,652.0,545.0,83.59,83.59,Optimal Deployment,130.4,109.0
FY2018-Q1,Western,Maharashtra,Pune,Public Sector Banks,Rural,Commercial Branches,6,256.14,185.96,72.6,72.6,Moderate Deployment,42.69,30.99
FY2018-Q1,Western,Maharashtra,Pune,Public Sector Banks,Rural,Specialized Credit Cells,7,188.92,144.36,76.41,76.41,Optimal Deployment,26.99,20.62
FY2018-Q1,Western,Maharashtra,Pune,Public Sector Banks,Semi-Urban,Commercial Branches,14,582.27,496.67,85.3,85.3,Strained (High Credit Deployment),41.59,35.48
FY2018-Q1,Western,Maharashtra,Pune,Public Sector Banks,Semi-Urban,Specialized Credit Cells,20,618.22,457.9,74.07,74.07,Moderate Deployment,30.91,22.9
FY2018-Q1,Western,Maharashtra,Pune,Public Sector Banks,Urban,Commercial Branches,19,1770.1,1484.1,83.84,83.84,Optimal Deployment,93.16,78.11
FY2018-Q1,Western,Maharashtra,Pune,Public Sector Banks,Urban,Specialized Credit Cells,26,1787.22,1442.12,80.69,80.69,Optimal Deployment,68.74,55.47
FY2018-Q1,Western,Maharashtra,Pune,Public Sector Banks,Metropolitan,Commercial Branches,45,3938.7,3693.79,93.78,93.78,Strained (High Credit Deployment),87.53,82.08
FY2018-Q1,Western,Maharashtra,Pune,Public Sector Banks,Metropolitan,Specialized Credit Cells,58,3691.52,48569.7,87.71,1315.71,Strained (High Credit Deployment),63.65,837.41
FY2018-Q1,Western,Maharashtra,Pune,Private Sector Banks,Rural,Commercial Branches,4,185.63,148.39,79.94,79.94,Optimal Deployment,46.41,37.1
FY2018-Q1,Western,Maharashtra,Pune,Private Sector Banks,Rural,Specialized Credit Cells,5,411.23,292.29,,71.08,Moderate Deployment,82.25,58.46
FY2018-Q1,Western,Maharashtra,Pune,Private Sector Banks,Semi-Urban,Commercial Branches,12,608.17,434.71,71.48,71.48,Moderate Deployment,50.68,36.23
FY2018-Q1,Western,Maharashtra,Pune,Private Sector Banks,Semi-Urban,Specialized Credit Cells,7,643.72,502.4,78.05,78.05,Optimal Deployment,91.96,71.77
FY2018-Q1,Western,Maharashtra,Pune,Private Sector Banks,Urban,Commercial Branches,29,1325.49,1122.97,84.72,84.72,Optimal Deployment,45.71,38.72
FY2018-Q1,Western,Maharashtra,Pune,Private Sector Banks,Urban,Specialized Credit Cells,22,1584.28,1122.57,70.86,70.86,Moderate Deployment,72.01,51.03
FY2018-Q1,Western,Maharashtra,Pune,Private Sector Banks,Metropolitan,Commercial Branches,36,1774.75,1684.15,94.89,94.9,Strained (High Credit Deployment),49.3,46.78
FY2018-Q1,Western,Maharashtra,Pune,Private Sector Banks,Metropolitan,Specialized Credit Cells,64,3108.88,2846.58,91.56,91.56,Strained (High Credit Deployment),48.58,44.48
FY2018-Q1,Western,Maharashtra,Pune,Foreign Banks,Rural,Commercial Branches,1,8.63,4.35,81.14,50.41,Under-deployed (Surplus Liquidity),8.63,4.35
FY2018-Q1,Western,Maharashtra,Pune,Foreign Banks,Rural,Specialized Credit Cells,1,6.6,5.17,78.31,78.33,Optimal Deployment,6.6,5.17
FY2018-Q1,Western,Maharashtra,Pune,Foreign Banks,Semi-Urban,Commercial Branches,1,14.01,9.69,69.14,69.16,Moderate Deployment,14.01,9.69
FY2018-Q1,Western,Maharashtra,Pune,Foreign Banks,Semi-Urban,Specialized Credit Cells,1,7.69,5.41,70.37,70.35,Moderate Deployment,7.69,5.41
FY2018-Q1,Western,Maharashtra,Pune,Foreign Banks,Urban,Commercial Branches,7,520.38,430.94,82.81,82.81,Optimal Deployment,74.34,61.56
FY2018-Q1,Western,Maharashtra,Pune,Foreign Banks,Urban,Specialized Credit Cells,8,395.61,318.68,80.55,80.55,Optimal Deployment,49.45,39.84
FY2018-Q1,Western,Maharashtra,Pune,Foreign Banks,Metropolitan,Commercial Branches,13,760.22,703.14,92.49,92.49,Strained (High Credit Deployment),58.48,54.09
FY2018-Q1,Western,Maharashtra,Pune,Foreign Banks,Metropolitan,Specialized Credit Cells,14,1097.64,903.62,82.32,82.32,Optimal Deployment,78.4,64.54
FY2018-Q1,Western,Maharashtra,Pune,Regional Rural Banks,Rural,Commercial Branches,1,42.45,35.04,82.53,82.54,Optimal Deployment,42.45,35.04
FY2018-Q1,Western,Maharashtra,Pune,Regional Rural Banks,Rural,Specialized Credit Cells,1,38.56,30.88,80.08,80.08,Optimal Deployment,38.56,30.88
FY2018-Q1,Western,Maharashtra,Pune,Regional Rural Banks,Semi-Urban,Commercial Branches,1,111.6,80.45,72.09,72.09,Moderate Deployment,111.6,80.45
FY2018-Q1,Western,Maharashtra,Pune,Regional Rural Banks,Semi-Urban,Specialized Credit Cells,1,38.71,29.85,77.12,77.11,Optimal Deployment,38.71,29.85
FY2018-Q1,Western,Maharashtra,Pune,Regional Rural Banks,Urban,Commercial Branches,4,164.21,123.67,75.31,75.31,Optimal Deployment,41.05,30.92
FY2018-Q1,Western,Maharashtra,Pune,Regional Rural Banks,Urban,Specialized Credit Cells,3,186.56,134.47,72.08,72.08,Moderate Deployment,62.19,44.82
FY2018-Q1,Western,Maharashtra,Pune,Regional Rural Banks,Metropolitan,Commercial Branches,7,268.43,261.74,97.51,97.51,Strained (High Credit Deployment),38.35,37.39
FY2018-Q1,Western,Maharashtra,Pune,Regional Rural Banks,Metropolitan,Specialized Credit Cells,7,231.21,206.0,89.09,89.1,Strained (High Credit Deployment),33.03,29.43
FY2018-Q1,Western,Maharashtra,Nagpur,Public Sector Banks,Rural,Commercial Branches,5,428.26,345.38,80.65,80.65,Optimal Deployment,85.65,69.08
FY2018-Q1,Western,Maharashtra,Nagpur,Public Sector Banks,Rural,Specialized Credit Cells,6,5.0,3.49,69.85,69.8,Moderate Deployment,0.83,0.58
FY2018-Q1,Western,Maharashtra,Nagpur,Public Sector Banks,Semi-Urban,Commercial Branches,8,1255.96,846.76,67.42,67.42,Moderate Deployment,157.0,105.84
FY2018-Q1,Western,Maharashtra,Nagpur,Public Sector Banks,Semi-Urban,Specialized Credit Cells,14,1205.5,812.32,67.38,67.38,Moderate Deployment,86.11,58.02
FY2018-Q1,Western,Maharashtra,Nagpur,Public Sector Banks,Urban,Commercial Branches,26,1131.76,891.52,78.77,78.77,Optimal Deployment,43.53,34.29
FY2018-Q1,Western,Maharashtra,Nagpur,Public Sector Banks,Urban,Specialized Credit Cells,13,1686.86,1243.02,73.69,73.69,Moderate Deployment,129.76,95.62
FY2018-Q1,Western,Maharashtra,Nagpur,Public Sector Banks,Metropolitan,Commercial Branches,85,5087.9,4303.0,84.57,84.57,Optimal Deployment,59.86,50.62
FY2018-Q1,Western,Maharashtra,Nagpur,Public Sector Banks,Metropolitan,Specialized Credit Cells,49,3211.07,3067.53,95.53,95.53,Strained (High Credit Deployment),65.53,62.6
FY2018-Q1,Western,Maharashtra,Nagpur,Private Sector Banks,Rural,Commercial Branches,3,326.98,236.29,72.26,72.26,Moderate Deployment,108.99,78.76
FY2018-Q1,Western,Maharashtra,Nagpur,Private Sector Banks,Rural,Specialized Credit Cells,2,243.42,197.41,81.1,81.1,Optimal Deployment,121.71,98.7
FY2018-Q1,Western,Maharashtra,Nagpur,Private Sector Banks,Semi-Urban,Commercial Branches,6,850.0,661.67,77.84,77.84,Optimal Deployment,141.67,110.28
FY2018-Q1,Western,Maharashtra,Nagpur,Private Sector Banks,Semi-Urban,Specialized Credit Cells,8,817.83,651.5,79.66,79.66,Optimal Deployment,102.23,81.44
FY2018-Q1,Western,Maharashtra,Nagpur,Private Sector Banks,Urban,Commercial Branches,19,1551.09,1160.01,74.79,74.79,Moderate Deployment,81.64,61.05
FY2018-Q1,Western,Maharashtra,Nagpur,Private Sector Banks,Urban,Specialized Credit Cells,28,1668.66,1349.63,80.88,80.88,Optimal Deployment,59.6,48.2
FY2018-Q1,Western,Maharashtra,Nagpur,Private Sector Banks,Metropolitan,Commercial Branches,43,3289.21,2964.84,90.14,90.14,Strained (High Credit Deployment),76.49,68.95
FY2018-Q1,Western,Maharashtra,Nagpur,Private Sector Banks,Metropolitan,Specialized Credit Cells,39,2980.08,2718.4,91.22,91.22,Strained (High Credit Deployment),76.41,69.7
FY2018-Q1,Western,Maharashtra,Nagpur,Foreign Banks,Rural,Commercial Branches,1,5.0,4.43,88.55,88.6,Strained (High Credit Deployment),5.0,4.43
FY2018-Q1,Western,Maharashtra,Nagpur,Foreign Banks,Rural,Specialized Credit Cells,1,8.57,6.92,80.75,80.75,Optimal Deployment,8.57,6.92
FY2018-Q1,Western,Maharashtra,Nagpur,Foreign Banks,Semi-Urban,Commercial Branches,1,14.08,10.13,71.94,71.95,Moderate Deployment,14.08,10.13
FY2018-Q1,Western,Maharashtra,Nagpur,Foreign Banks,Semi-Urban,Specialized Credit Cells,1,10.12,7.5,74.07,74.11,Moderate Deployment,10.12,7.5
FY2018-Q1,Western,Maharashtra,Nagpur,Foreign Banks,Urban,Commercial Branches,4,324.23,251.16,77.46,77.46,Optimal Deployment,81.06,62.79
FY2018-Q1,Western,Maharashtra,Nagpur,Foreign Banks,Urban,Specialized Credit Cells,3,373.68,289.2,77.39,77.39,Optimal Deployment,124.56,96.4
FY2018-Q1,Western,Maharashtra,Nagpur,Foreign Banks,Metropolitan,Commercial Branches,13,693.09,628.77,,90.72,Strained (High Credit Deployment),53.31,48.37
FY2018-Q1,Western,Maharashtra,Nagpur,Foreign Banks,Metropolitan,Specialized Credit Cells,18,1147.01,1044.24,91.04,91.04,Strained (High Credit Deployment),63.72,58.01
FY2018-Q1,Western,Maharashtra,Nagpur,Regional Rural Banks,Rural,Commercial Branches,1,49.7,36.91,74.27,74.27,Moderate Deployment,49.7,36.91
FY2018-Q1,Western,Maharashtra,Nagpur,Regional Rural Banks,Rural,Specialized Credit Cells,1,55.16,39.18,71.04,71.03,Moderate Deployment,55.16,39.18
FY2018-Q1,Western,Maharashtra,Nagpur,Regional Rural Banks,Semi-Urban,Commercial Branches,2,106.17,83.25,78.41,78.41,Optimal Deployment,53.08,41.62
FY2018-Q1,Western,Maharashtra,Nagpur,Regional Rural Banks,Semi-Urban,Specialized Credit Cells,1,117.89,89.69,76.08,76.08,Optimal Deployment,117.89,89.69
FY2018-Q1,Western,Maharashtra,Nagpur,Regional Rural Banks,Urban,Commercial Branches,1,221.73,175.14,78.99,78.99,Optimal Deployment,221.73,175.14
FY2018-Q1,Western,Maharashtra,Nagpur,Regional Rural Banks,Urban,Specialized Credit Cells,3,371.58,265.29,71.4,71.4,Moderate Deployment,123.86,88.43
FY2018-Q1,Western,Maharashtra,Nagpur,Regional Rural Banks,Metropolitan,Commercial Branches,2,765.33,666.99,87.15,87.15,Strained (High Credit Deployment),382.66,333.5
FY2018-Q1,Western,Maharashtra,Nagpur,Regional Rural Banks,Metropolitan,Specialized Credit Cells,5,144.16,128.08,88.85,88.85,Strained (High Credit Deployment),28.83,25.62
FY2018-Q1,Western,Maharashtra,Nashik,Public Sector Banks,Rural,Commercial Branches,6,416.01,363.0,87.26,87.26,Strained (High Credit Deployment),69.33,60.5
FY2018-Q1,Western,Maharashtra,Nashik,Public Sector Banks,Rural,Specialized Credit Cells,5,267.19,210.95,78.95,78.95,Optimal Deployment,53.44,42.19
FY2018-Q1,Western,Maharashtra,Nashik,Public Sector Banks,Semi-Urban,Commercial Branches,14,1136.37,831.65,73.18,73.18,Moderate Deployment,81.17,59.4
FY2018-Q1,Western,Maharashtra,Nashik,Public Sector Banks,Semi-Urban,Specialized Credit Cells,14,794.76,663.04,83.43,83.43,Optimal Deployment,56.77,47.36
FY2018-Q1,Western,Maharashtra,Nashik,Public Sector Banks,Urban,Commercial Branches,24,1652.77,1260.76,76.28,76.28,Optimal Deployment,68.87,52.53
FY2018-Q1,Western,Maharashtra,Nashik,Public Sector Banks,Urban,Specialized Credit Cells,35,1086.3,816.31,,75.15,Optimal Deployment,31.04,23.32
FY2018-Q1,Western,Maharashtra,Nashik,Public Sector Banks,Metropolitan,Commercial Branches,90,4143.54,3532.46,85.25,85.25,Strained (High Credit Deployment),46.04,39.25
FY2018-Q1,Western,Maharashtra,Nashik,Public Sector Banks,Metropolitan,Specialized Credit Cells,58,3733.9,3267.5,,87.51,Strained (High Credit Deployment),64.38,56.34
FY2018-Q1,Western,Maharashtra,Nashik,Private Sector Banks,Rural,Commercial Branches,4,413.21,315.71,76.41,76.4,Optimal Deployment,103.3,78.93
FY2018-Q1,Western,Maharashtra,Nashik,Private Sector Banks,Rural,Specialized Credit Cells,4,276.1,225.93,81.83,81.83,Optimal Deployment,69.03,56.48
FY2018-Q1,Western,Maharashtra,Nashik,Private Sector Banks,Semi-Urban,Commercial Branches,6,796.3,670.58,84.21,84.21,Optimal Deployment,132.72,111.76
FY2018-Q1,Western,Maharashtra,Nashik,Private Sector Banks,Semi-Urban,Specialized Credit Cells,12,883.54,578.26,65.45,65.45,Moderate Deployment,73.63,48.19
FY2018-Q1,Western,Maharashtra,Nashik,Private Sector Banks,Urban,Commercial Branches,19,1206.2,968.64,80.31,80.31,Optimal Deployment,63.48,50.98
FY2018-Q1,Western,Maharashtra,Nashik,Private Sector Banks,Urban,Specialized Credit Cells,21,2007.93,1359.76,67.72,67.72,Moderate Deployment,95.62,64.75
FY2018-Q1,Western,Maharashtra,Nashik,Private Sector Banks,Metropolitan,Commercial Branches,43,3031.83,2783.34,91.8,91.8,Strained (High Credit Deployment),70.51,64.73
FY2018-Q1,Western,Maharashtra,Nashik,Private Sector Banks,Metropolitan,Specialized Credit Cells,43,1572.94,1510.31,96.02,96.02,Strained (High Credit Deployment),36.58,35.12
FY2018-Q1,Western,Maharashtra,Nashik,Foreign Banks,Rural,Commercial Branches,1,6.98,4.91,70.36,70.34,Moderate Deployment,6.98,4.91
FY2018-Q1,Western,Maharashtra,Nashik,Foreign Banks,Rural,Specialized Credit Cells,1,6.12,5.0,81.73,81.7,Optimal Deployment,6.12,5.0
FY2018-Q1,Western,Maharashtra,Nashik,Foreign Banks,Semi-Urban,Commercial Branches,1,11.42,8.14,71.24,71.28,Moderate Deployment,11.42,8.14
FY2018-Q1,Western,Maharashtra,Nashik,Foreign Banks,Semi-Urban,Specialized Credit Cells,1,13.28,9.27,69.79,69.8,Moderate Deployment,13.28,9.27
FY2018-Q1,Western,Maharashtra,Nashik,Foreign Banks,Urban,Commercial Branches,5,716.63,546.16,76.21,76.21,Optimal Deployment,143.33,109.23
FY2018-Q1,Western,Maharashtra,Nashik,Foreign Banks,Urban,Specialized Credit Cells,1,424.18,316.75,74.67,74.67,Moderate Deployment,424.18,316.75
FY2018-Q1,Western,Maharashtra,Nashik,Foreign Banks,Metropolitan,Commercial Branches,18,747.22,661.63,88.55,88.55,Strained (High Credit Deployment),41.51,36.76
FY2018-Q1,Western,Maharashtra,Nashik,Foreign Banks,Metropolitan,Specialized Credit Cells,13,463.62,464.55,100.2,100.2,Strained (High Credit Deployment),35.66,35.73
FY2018-Q1,Western,Maharashtra,Nashik,Regional Rural Banks,Rural,Commercial Branches,1,59.22,46.11,77.87,77.86,Optimal Deployment,59.22,46.11
FY2018-Q1,Western,Maharashtra,Nashik,Regional Rural Banks,Rural,Specialized Credit Cells,1,47.95,33.69,70.27,70.26,Moderate Deployment,47.95,33.69
FY2018-Q1,Western,Maharashtra,Nashik,Regional Rural Banks,Semi-Urban,Commercial Branches,1,83.38,56.25,67.47,67.46,Moderate Deployment,83.38,56.25
FY2018-Q1,Western,Maharashtra,Nashik,Regional Rural Banks,Semi-Urban,Specialized Credit Cells,1,169.39,137.7,81.29,81.29,Optimal Deployment,169.39,137.7
FY2018-Q1,Western,Maharashtra,Nashik,Regional Rural Banks,Urban,Commercial Branches,4,225.45,159.69,70.83,70.83,Moderate Deployment,56.36,39.92
FY2018-Q1,Western,Maharashtra,Nashik,Regional Rural Banks,Urban,Specialized Credit Cells,3,146.98,110.03,74.86,74.86,Moderate Deployment,48.99,36.68
FY2018-Q1,Western,Maharashtra,Nashik,Regional Rural Banks,Metropolitan,Commercial Branches,6,583.37,603.53,103.46,103.46,Strained (High Credit Deployment),97.23,100.59
FY2018-Q1,Western,Maharashtra,Nashik,Regional Rural Banks,Metropolitan,Specialized Credit Cells,7,356.31,317.39,89.08,89.08,Strained (High Credit Deployment),50.9,45.34
FY2018-Q1,Western,Maharashtra,Thane,Public Sector Banks,Rural,Commercial Branches,4,380.82,270.44,71.01,71.02,Moderate Deployment,95.2,67.61
FY2018-Q1,Western,Maharashtra,Thane,Public Sector Banks,Rural,Specialized Credit Cells,3,305.79,246.26,80.53,80.53,Optimal Deployment,101.93,82.09
FY2018-Q1,Western,Maharashtra,Thane,Public Sector Banks,Semi-Urban,Commercial Branches,8,851.22,685.3,80.51,80.51,Optimal Deployment,106.4,85.66
FY2018-Q1,Western,Maharashtra,Thane,Public Sector Banks,Semi-Urban,Specialized Credit Cells,14,650.07,516.31,79.42,79.42,Optimal Deployment,46.43,36.88
FY2018-Q1,Western,Maharashtra,Thane,Public Sector Banks,Urban,Commercial Branches,22,790.66,603.18,76.29,76.29,Optimal Deployment,35.94,27.42
FY2018-Q1,Western,Maharashtra,Thane,Public Sector Banks,Urban,Specialized Credit Cells,15,1987.18,1312.15,66.03,66.03,Moderate Deployment,132.48,87.48
FY2018-Q1,Western,Maharashtra,Thane,Public Sector Banks,Metropolitan,Commercial Branches,36,2671.02,2464.93,92.28,92.28,Strained (High Credit Deployment),74.19,68.47
FY2018-Q1,Western,Maharashtra,Thane,Public Sector Banks,Metropolitan,Specialized Credit Cells,45,4461.8,3950.42,88.54,88.54,Strained (High Credit Deployment),99.15,87.79
FY2018-Q1,Western,Maharashtra,Thane,Private Sector Banks,Rural,Commercial Branches,3,350.86,297.0,84.65,84.65,Optimal Deployment,116.95,99.0
FY2018-Q1,Western,Maharashtra,Thane,Private Sector Banks,Rural,Specialized Credit Cells,4,355.4,265.77,74.78,74.78,Moderate Deployment,88.85,66.44
FY2018-Q1,Western,Maharashtra,Thane,Private Sector Banks,Semi-Urban,Commercial Branches,16,678.29,509.16,75.07,75.07,Optimal Deployment,42.39,31.82
FY2018-Q1,Western,Maharashtra,Thane,Private Sector Banks,Semi-Urban,Specialized Credit Cells,11,731.3,537.72,73.53,73.53,Moderate Deployment,66.48,48.88
FY2018-Q1,Western,Maharashtra,Thane,Private Sector Banks,Urban,Commercial Branches,14,1486.62,1092.28,73.47,73.47,Moderate Deployment,106.19,78.02
FY2018-Q1,Western,Maharashtra,Thane,Private Sector Banks,Urban,Specialized Credit Cells,24,1687.96,1249.83,74.04,74.04,Moderate Deployment,70.33,52.08
FY2018-Q1,Western,Maharashtra,Thane,Private Sector Banks,Metropolitan,Commercial Branches,39,939.06,807.14,85.95,85.95,Strained (High Credit Deployment),24.08,20.7
FY2018-Q1,Western,Maharashtra,Thane,Private Sector Banks,Metropolitan,Specialized Credit Cells,43,2715.91,2771.82,,102.06,Strained (High Credit Deployment),63.16,64.46
FY2018-Q1,Western,Maharashtra,Thane,Foreign Banks,Rural,Commercial Branches,1,6.72,5.42,80.63,80.65,Optimal Deployment,6.72,5.42
FY2018-Q1,Western,Maharashtra,Thane,Foreign Banks,Rural,Specialized Credit Cells,1,6.93,5.09,73.51,73.45,Moderate Deployment,6.93,5.09
FY2018-Q1,Western,Maharashtra,Thane,Foreign Banks,Semi-Urban,Commercial Branches,1,14.55,11.27,77.49,77.46,Optimal Deployment,14.55,11.27
FY2018-Q1,Western,Maharashtra,Thane,Foreign Banks,Semi-Urban,Specialized Credit Cells,1,17.4,12.33,70.86,70.86,Moderate Deployment,17.4,12.33
FY2018-Q1,Western,Maharashtra,Thane,Foreign Banks,Urban,Commercial Branches,5,402.0,281.91,70.13,70.13,Moderate Deployment,80.4,56.38
FY2018-Q1,Western,Maharashtra,Thane,Foreign Banks,Urban,Specialized Credit Cells,8,546.58,385.16,,70.47,Moderate Deployment,68.32,48.14
FY2018-Q1,Western,Maharashtra,Thane,Foreign Banks,Metropolitan,Commercial Branches,16,1019.07,1052.3,103.26,103.26,Strained (High Credit Deployment),63.69,65.77
FY2018-Q1,Western,Maharashtra,Thane,Foreign Banks,Metropolitan,Specialized Credit Cells,10,387.73,391.52,100.98,100.98,Strained (High Credit Deployment),38.77,39.15
FY2018-Q1,Western,Maharashtra,Thane,Regional Rural Banks,Rural,Commercial Branches,1,89.13,68.43,76.78,76.78,Optimal Deployment,89.13,68.43
FY2018-Q1,Western,Maharashtra,Thane,Regional Rural Banks,Rural,Specialized Credit Cells,1,57.7,44.63,77.34,77.35,Optimal Deployment,57.7,44.63
FY2018-Q1,Western,Maharashtra,Thane,Regional Rural Banks,Semi-Urban,Commercial Branches,2,176.25,148.18,84.07,84.07,Optimal Deployment,88.12,74.09
FY2018-Q1,Western,Maharashtra,Thane,Regional Rural Banks,Semi-Urban,Specialized Credit Cells,1,75.17,56.56,75.25,75.24,Optimal Deployment,75.17,56.56
FY2018-Q1,Western,Maharashtra,Thane,Regional Rural Banks,Urban,Commercial Branches,4,100.85,85.9,85.18,85.18,Strained (High Credit Deployment),25.21,21.48
FY2018-Q1,Western,Maharashtra,Thane,Regional Rural Banks,Urban,Specialized Credit Cells,1,148.75,98.28,66.07,66.07,Moderate Deployment,148.75,98.28
FY2018-Q1,Western,Maharashtra,Thane,Regional Rural Banks,Metropolitan,Commercial Branches,7,264.25,222.58,84.23,84.23,Optimal Deployment,37.75,31.8
FY2018-Q1,Western,Maharashtra,Thane,Regional Rural Banks,Metropolitan,Specialized Credit Cells,9,412.62,342.4,82.98,82.98,Optimal Deployment,45.85,38.04
FY2018-Q1,Western,Maharashtra,Aurangabad,Public Sector Banks,Rural,Commercial Branches,4,51.37,38.87,75.67,75.67,Optimal Deployment,12.84,9.72
FY2018-Q1,Western,Maharashtra,Aurangabad,Public Sector Banks,Rural,Specialized Credit Cells,9,596.87,493.97,,82.76,Optimal Deployment,66.32,54.89
