quarter,region,state_name,district_name,bank_group,population_group,branch_category,number_of_offices,total_deposits_crore,total_credit_crore,reported_cd_ratio
FY2018-Q1,Western,Maharashtra,Mumbai,Regional Rural Banks,Metropolitan,Commercial Branches,4.0,614.57,593.13,96.51
FY2018-Q1,Western,Maharashtra,Mumbai,Regional Rural Banks,Metropolitan,Specialized Credit Cells,5.0,652.0,545.0,83.59
FY2018-Q1,Western,Maharashtra,Pune,Public Sector Banks,Rural,Commercial Branches,6.0,256.14,185.96,72.6
FY2018-Q1,Western,Maharashtra,Pune,Public Sector Banks,Rural,Specialized Credit Cells,7.0,188.92,144.36,76.41
FY2018-Q1,Western,Maharashtra,Pune,Public Sector Banks,Semi-Urban,Commercial Branches,14.0,582.27,496.67,85.3
FY2018-Q1,Western,Maharashtra,Pune,Public Sector Banks,Semi-Urban,Specialized Credit Cells,20.0,618.22,457.9,74.07
FY2018-Q1,Western,Maharashtra,Pune,Public Sector Banks,Urban,Commercial Branches,19.0,1770.1,1484.1,83.84
FY2018-Q1,Western,MAHARASHTRA ,Pune,Public Sector Banks,Urban,Specialized Credit Cells,26.0,1787.22,1442.12,80.69
FY2018-Q1,Western,Maharashtra,Pune,Public Sector Banks,Metropolitan,Commercial Branches,45.0,3938.7,3693.79,93.78
FY2018-Q1,Western,Maharashtra,Pune,Public Sector Banks,Metropolitan,Specialized Credit Cells,58.0,3691.52,48569.7,87.71
FY2018-Q1,Western,Maharashtra,Pune,Private Sector Banks,Rural,Commercial Branches,4.0,185.63,148.39,79.94
FY2018-Q1,Western,Maharashtra,Pune,Private Sector Banks,Rural,Specialized Credit Cells,5.0,411.23,292.29,
FY2018-Q1,Western,Maharashtra,Pune,Private Sector Banks,Semi-Urban,Commercial Branches,12.0,608.17,434.71,71.48
FY2018-Q1,Western,  maharashtra,Pune,Private Sector Banks,Semi-Urban,Specialized Credit Cells,7.0,643.72,502.4,78.05
FY2018-Q1,Western,Maharashtra,Pune,Private Sector Banks,Urban,Commercial Branches,29.0,1325.49,1122.97,84.72
FY2018-Q1,Western,Maharashtra,Pune,Private Sector Banks,Urban,Specialized Credit Cells,22.0,1584.28,1122.57,70.86
FY2018-Q1,Western,Maharashtra,Pune,Private Sector Banks,Metropolitan,Commercial Branches,36.0,1774.75,1684.15,94.89
FY2018-Q1,Western,Maharashtra,Pune,Private Sector Banks,Metropolitan,Specialized Credit Cells,64.0,3108.88,2846.58,91.56
FY2018-Q1,Western,Maharashtra,Pune,Foreign Banks,Rural,Commercial Branches,1.0,,4.35,81.14
FY2018-Q1,Western,Maharashtra,Pune,Foreign Banks,Rural,Specialized Credit Cells,1.0,6.6,5.17,78.31
FY2018-Q1,Western,Maharashtra,Pune,Foreign Banks,Semi-Urban,Commercial Branches,1.0,14.01,9.69,69.14
FY2018-Q1,Western,Maharashtra,Pune,Foreign Banks,Semi-Urban,Specialized Credit Cells,1.0,7.69,5.41,70.37
FY2018-Q1,Western,Maharashtra,PUNE,Foreign Banks,Urban,Commercial Branches,7.0,520.38,430.94,82.81
FY2018-Q1,Western,Maharashtra,PUNE,Foreign Banks,Urban,Specialized Credit Cells,8.0,395.61,318.68,80.55
FY2018-Q1,Western,Maharashtra,Pune,Foreign Banks,Metropolitan,Commercial Branches,13.0,760.22,703.14,92.49
FY2018-Q1,Western,Maharashtra,Pune,Foreign Banks,Metropolitan,Specialized Credit Cells,14.0,1097.64,903.62,82.32
FY2018-Q1,Western,Maharashtra,Pune,Regional Rural Banks,Rural,Commercial Branches,1.0,42.45,35.04,82.53
FY2018-Q1,Western,Maharashtra,Pune,Regional Rural Banks,Rural,Specialized Credit Cells,1.0,38.56,30.88,80.08
FY2018-Q1,Western,Maharashtra,Pune,Regional Rural Banks,Semi-Urban,Commercial Branches,1.0,111.6,80.45,72.09
FY2018-Q1,Western,Maharashtra,Pune,Regional Rural Banks,Semi-Urban,Specialized Credit Cells,1.0,38.71,29.85,77.12
FY2018-Q1,Western,Maharashtra,PUNE,Regional Rural Banks,Urban,Commercial Branches,4.0,164.21,123.67,75.31
FY2018-Q1,Western,Maharashtra,Pune,Regional Rural Banks,Urban,Specialized Credit Cells,3.0,186.56,134.47,72.08
FY2018-Q1,Western,Maharashtra,Pune,Regional Rural Banks,Metropolitan,Commercial Branches,7.0,268.43,261.74,97.51
FY2018-Q1,Western,Maharashtra,Pune,Regional Rural Banks,Metropolitan,Specialized Credit Cells,7.0,231.21,206.0,89.09
FY2018-Q1,Western,  maharashtra,Nagpur,Public Sector Banks,Rural,Commercial Branches,5.0,428.26,345.38,80.65
FY2018-Q1,Western,Maharashtra,Nagpur,Public Sector Banks,Rural,Specialized Credit Cells,6.0,5.0,3.49,69.85
FY2018-Q1,Western,Maharashtra,Nagpur,Public Sector Banks,Semi-Urban,Commercial Branches,8.0,1255.96,846.76,67.42
FY2018-Q1,Western,Maharashtra,Nagpur,Public Sector Banks,Semi-Urban,Specialized Credit Cells,14.0,1205.5,812.32,67.38
FY2018-Q1,Western,Maharashtra,Nagpur,Public Sector Banks,Urban,Commercial Branches,26.0,1131.76,891.52,78.77
FY2018-Q1,Western,Maharashtra,Nagpur,Public Sector Banks,Urban,Specialized Credit Cells,13.0,1686.86,1243.02,73.69
FY2018-Q1,Western,Maharashtra,Nagpur,Public Sector Banks,Metropolitan,Commercial Branches,85.0,5087.9,4303.0,84.57
FY2018-Q1,Western,Maharashtra,Nagpur,Public Sector Banks,Metropolitan,Specialized Credit Cells,49.0,3211.07,3067.53,95.53
FY2018-Q1,Western,MAHARASHTRA ,Nagpur,Private Sector Banks,Rural,Commercial Branches,3.0,326.98,236.29,72.26
FY2018-Q1,Western,Maharashtra,Nagpur,Private Sector Banks,Rural,Specialized Credit Cells,2.0,243.42,197.41,81.1
FY2018-Q1,Western,Maharashtra,Nagpur,Private Sector Banks,Semi-Urban,Commercial Branches,6.0,850.0,661.67,77.84
FY2018-Q1,Western,Maharashtra,Nagpur,Private Sector Banks,Semi-Urban,Specialized Credit Cells,8.0,817.83,651.5,79.66
FY2018-Q1,Western,Maharashtra,Nagpur,Private Sector Banks,Urban,Commercial Branches,19.0,1551.09,1160.01,74.79
FY2018-Q1,Western,Maharashtra,Nagpur,Private Sector Banks,Urban,Specialized Credit Cells,28.0,1668.66,1349.63,80.88
FY2018-Q1,Western,Maharashtra,Nagpur,Private Sector Banks,Metropolitan,Commercial Branches,43.0,3289.21,2964.84,90.14
FY2018-Q1,Western,Maharashtra,Nagpur,Private Sector Banks,Metropolitan,Specialized Credit Cells,39.0,2980.08,2718.4,91.22
FY2018-Q1,Western,Maharashtra,Nagpur,Foreign Banks,Rural,Commercial Branches,1.0,5.0,4.43,88.55
FY2018-Q1,Western,Maharashtra,Nagpur,Foreign Banks,Rural,Specialized Credit Cells,1.0,8.57,6.92,80.75
FY2018-Q1,Western,Maharashtra,Nagpur,Foreign Banks,Semi-Urban,Commercial Branches,1.0,14.08,10.13,71.94
FY2018-Q1,Western,Maharashtra,Nagpur,Foreign Banks,Semi-Urban,Specialized Credit Cells,1.0,10.12,7.5,74.07
FY2018-Q1,Western,Maharashtra,Nagpur,Foreign Banks,Urban,Commercial Branches,4.0,324.23,251.16,77.46
FY2018-Q1,Western,Maharashtra,Nagpur,Foreign Banks,Urban,Specialized Credit Cells,3.0,373.68,289.2,77.39
FY2018-Q1,Western,Maharashtra,Nagpur,Foreign Banks,Metropolitan,Commercial Branches,13.0,693.09,628.77,
FY2018-Q1,Western,Maharashtra,Nagpur,Foreign Banks,Metropolitan,Specialized Credit Cells,18.0,1147.01,1044.24,91.04
FY2018-Q1,Western,Maharashtra,Nagpur,Regional Rural Banks,Rural,Commercial Branches,1.0,49.7,36.91,74.27
FY2018-Q1,Western,Maharashtra,Nagpur,Regional Rural Banks,Rural,Specialized Credit Cells,1.0,55.16,39.18,71.04
FY2018-Q1,Western,Maharashtra,Nagpur,Regional Rural Banks,Semi-Urban,Commercial Branches,2.0,106.17,83.25,78.41
FY2018-Q1,Western,Maharashtra,Nagpur,Regional Rural Banks,Semi-Urban,Specialized Credit Cells,1.0,117.89,89.69,76.08
FY2018-Q1,Western,Maharashtra,Nagpur,Regional Rural Banks,Urban,Commercial Branches,1.0,221.73,175.14,78.99
FY2018-Q1,Western,Maharashtra,Nagpur,Regional Rural Banks,Urban,Specialized Credit Cells,3.0,371.58,265.29,71.4
FY2018-Q1,Western,Maharashtra,Nagpur,Regional Rural Banks,Metropolitan,Commercial Branches,2.0,765.33,666.99,87.15
FY2018-Q1,Western,Maharashtra,Nagpur,Regional Rural Banks,Metropolitan,Specialized Credit Cells,5.0,144.16,128.08,88.85
FY2018-Q1,Western,  maharashtra,Nashik,Public Sector Banks,Rural,Commercial Branches,6.0,416.01,363.0,87.26
FY2018-Q1,Western,  maharashtra,Nashik,Public Sector Banks,Rural,Specialized Credit Cells,5.0,267.19,210.95,78.95
FY2018-Q1,Western,Maharashtra,Nashik,Public Sector Banks,Semi-Urban,Commercial Branches,14.0,1136.37,831.65,73.18
FY2018-Q1,Western,Maharashtra,Nashik,Public Sector Banks,Semi-Urban,Specialized Credit Cells,14.0,794.76,663.04,83.43
FY2018-Q1,Western,MAHARASHTRA ,Nashik,Public Sector Banks,Urban,Commercial Branches,24.0,1652.77,1260.76,76.28
FY2018-Q1,Western,Maharashtra,Nashik,Public Sector Banks,Urban,Specialized Credit Cells,35.0,1086.3,816.31,
FY2018-Q1,Western,Maharashtra,Nashik,Public Sector Banks,Metropolitan,Commercial Branches,90.0,4143.54,3532.46,85.25
FY2018-Q1,Western,Maharashtra,NASHIK,Public Sector Banks,Metropolitan,Specialized Credit Cells,58.0,3733.9,3267.5,
FY2018-Q1,Western,MAHARASHTRA ,Nashik,Private Sector Banks,Rural,Commercial Branches,4.0,413.21,315.71,76.41
FY2018-Q1,Western,Maharashtra,Nashik,Private Sector Banks,Rural,Specialized Credit Cells,4.0,276.1,225.93,81.83
FY2018-Q1,Western,Maharashtra,Nashik,Private Sector Banks,Semi-Urban,Commercial Branches,6.0,796.3,670.58,84.21
FY2018-Q1,Western,Maharashtra,Nashik,Private Sector Banks,Semi-Urban,Specialized Credit Cells,12.0,883.54,578.26,65.45
FY2018-Q1,Western,Maharashtra,Nashik,Private Sector Banks,Urban,Commercial Branches,19.0,1206.2,968.64,80.31
FY2018-Q1,Western,Maharashtra,Nashik,Private Sector Banks,Urban,Specialized Credit Cells,21.0,2007.93,1359.76,67.72
FY2018-Q1,Western,Maharashtra,Nashik,Private Sector Banks,Metropolitan,Commercial Branches,43.0,3031.83,2783.34,91.8
FY2018-Q1,Western,Maharashtra,Nashik,Private Sector Banks,Metropolitan,Specialized Credit Cells,43.0,1572.94,1510.31,96.02
FY2018-Q1,Western,Maharashtra,Nashik,Foreign Banks,Rural,Commercial Branches,1.0,6.98,4.91,70.36
FY2018-Q1,Western,Maharashtra,NASHIK,Foreign Banks,Rural,Specialized Credit Cells,1.0,6.12,5.0,81.73
FY2018-Q1,Western,MAHARASHTRA ,Nashik,Foreign Banks,Semi-Urban,Commercial Branches,1.0,11.42,8.14,71.24
FY2018-Q1,Western,Maharashtra,Nashik,Foreign Banks,Semi-Urban,Specialized Credit Cells,1.0,13.28,9.27,69.79
FY2018-Q1,Western,Maharashtra,Nashik,Foreign Banks,Urban,Commercial Branches,5.0,716.63,546.16,76.21
FY2018-Q1,Western,Maharashtra,Nashik,Foreign Banks,Urban,Specialized Credit Cells,,424.18,316.75,74.67
FY2018-Q1,Western,Maharashtra,NASHIK,Foreign Banks,Metropolitan,Commercial Branches,18.0,747.22,661.63,88.55
FY2018-Q1,Western,Maharashtra,Nashik,Foreign Banks,Metropolitan,Specialized Credit Cells,13.0,463.62,464.55,100.2
FY2018-Q1,Western,  maharashtra,Nashik,Regional Rural Banks,Rural,Commercial Branches,1.0,59.22,46.11,77.87
FY2018-Q1,Western,Maharashtra,Nashik,Regional Rural Banks,Rural,Specialized Credit Cells,1.0,47.95,33.69,70.27
FY2018-Q1,Western,Maharashtra,Nashik,Regional Rural Banks,Semi-Urban,Commercial Branches,1.0,83.38,56.25,67.47
FY2018-Q1,Western,Maharashtra,Nashik,Regional Rural Banks,Semi-Urban,Specialized Credit Cells,1.0,169.39,137.7,81.29
FY2018-Q1,Western,Maharashtra,Nashik,Regional Rural Banks,Urban,Commercial Branches,4.0,225.45,159.69,70.83
FY2018-Q1,Western,Maharashtra,Nashik,Regional Rural Banks,Urban,Specialized Credit Cells,3.0,146.98,110.03,74.86
FY2018-Q1,Western,Maharashtra,Nashik,Regional Rural Banks,Metropolitan,Commercial Branches,6.0,583.37,603.53,103.46
FY2018-Q1,Western,Maharashtra,Nashik,Regional Rural Banks,Metropolitan,Specialized Credit Cells,7.0,356.31,317.39,89.08
FY2018-Q1,Western,Maharashtra,Thane,Public Sector Banks,Rural,Commercial Branches,4.0,380.82,270.44,71.01
FY2018-Q1,Western,Maharashtra,Thane,Public Sector Banks,Rural,Specialized Credit Cells,3.0,305.79,246.26,80.53
FY2018-Q1,Western,Maharashtra,Thane,Public Sector Banks,Semi-Urban,Commercial Branches,8.0,851.22,685.3,80.51
FY2018-Q1,Western,Maharashtra,Thane,Public Sector Banks,Semi-Urban,Specialized Credit Cells,14.0,650.07,516.31,79.42
FY2018-Q1,Western,Maharashtra,Thane,Public Sector Banks,Urban,Commercial Branches,22.0,790.66,603.18,76.29
FY2018-Q1,Western,MAHARASHTRA ,Thane,Public Sector Banks,Urban,Specialized Credit Cells,15.0,1987.18,1312.15,66.03
FY2018-Q1,Western,Maharashtra,Thane,Public Sector Banks,Metropolitan,Commercial Branches,36.0,2671.02,2464.93,92.28
FY2018-Q1,Western,Maharashtra,Thane,Public Sector Banks,Metropolitan,Specialized Credit Cells,45.0,4461.8,3950.42,88.54
FY2018-Q1,Western,Maharashtra,Thane,Private Sector Banks,Rural,Commercial Branches,3.0,350.86,297.0,84.65
FY2018-Q1,Western,Maharashtra,Thane,Private Sector Banks,Rural,Specialized Credit Cells,4.0,355.4,265.77,74.78
FY2018-Q1,Western,Maharashtra,THANE,Private Sector Banks,Semi-Urban,Commercial Branches,16.0,678.29,509.16,75.07
FY2018-Q1,Western,Maharashtra,Thane,Private Sector Banks,Semi-Urban,Specialized Credit Cells,11.0,731.3,537.72,73.53
FY2018-Q1,Western,MAHARASHTRA ,Thane,Private Sector Banks,Urban,Commercial Branches,14.0,1486.62,1092.28,73.47
FY2018-Q1,Western,Maharashtra,Thane,Private Sector Banks,Urban,Specialized Credit Cells,24.0,1687.96,1249.83,74.04
FY2018-Q1,Western,Maharashtra,Thane,Private Sector Banks,Metropolitan,Commercial Branches,39.0,939.06,807.14,85.95
FY2018-Q1,Western,Maharashtra,Thane,Private Sector Banks,Metropolitan,Specialized Credit Cells,43.0,2715.91,2771.82,
FY2018-Q1,Western,Maharashtra,Thane,Foreign Banks,Rural,Commercial Branches,1.0,6.72,5.42,80.63
FY2018-Q1,Western,Maharashtra,Thane,Foreign Banks,Rural,Specialized Credit Cells,1.0,6.93,5.09,73.51
FY2018-Q1,Western,Maharashtra,Thane,Foreign Banks,Semi-Urban,Commercial Branches,1.0,14.55,11.27,77.49
FY2018-Q1,Western,Maharashtra,Thane,Foreign Banks,Semi-Urban,Specialized Credit Cells,1.0,17.4,12.33,70.86
FY2018-Q1,Western,Maharashtra,Thane,Foreign Banks,Urban,Commercial Branches,5.0,402.0,281.91,70.13
FY2018-Q1,Western,Maharashtra,Thane,Foreign Banks,Urban,Specialized Credit Cells,8.0,546.58,385.16,
FY2018-Q1,Western,Maharashtra,Thane,Foreign Banks,Metropolitan,Commercial Branches,16.0,1019.07,1052.3,103.26
FY2018-Q1,Western,Maharashtra,Thane,Foreign Banks,Metropolitan,Specialized Credit Cells,10.0,387.73,391.52,100.98
FY2018-Q1,Western,Maharashtra,Thane,Regional Rural Banks,Rural,Commercial Branches,1.0,89.13,68.43,76.78
FY2018-Q1,Western,Maharashtra,Thane,Regional Rural Banks,Rural,Specialized Credit Cells,1.0,57.7,44.63,77.34
FY2018-Q1,Western,Maharashtra,Thane,Regional Rural Banks,Semi-Urban,Commercial Branches,2.0,176.25,148.18,84.07
FY2018-Q1,Western,Maharashtra,Thane,Regional Rural Banks,Semi-Urban,Specialized Credit Cells,1.0,75.17,56.56,75.25
FY2018-Q1,Western,Maharashtra,Thane,Regional Rural Banks,Urban,Commercial Branches,4.0,100.85,85.9,85.18
FY2018-Q1,Western,Maharashtra,Thane,Regional Rural Banks,Urban,Specialized Credit Cells,1.0,148.75,98.28,66.07
FY2018-Q1,Western,Maharashtra,Thane,Regional Rural Banks,Metropolitan,Commercial Branches,7.0,264.25,222.58,84.23
FY2018-Q1,Western,Maharashtra,Thane,Regional Rural Banks,Metropolitan,Specialized Credit Cells,9.0,412.62,342.4,82.98
FY2018-Q1,Western,Maharashtra,Aurangabad,Public Sector Banks,Rural,Commercial Branches,4.0,51.37,38.87,75.67
FY2018-Q1,Western,Maharashtra,Aurangabad,Public Sector Banks,Rural,Specialized Credit Cells,9.0,596.87,493.97,
FY2018-Q1,Western,Maharashtra,Aurangabad,Public Sector Banks,Semi-Urban,Commercial Branches,8.0,1504.37,1148.67,76.36
FY2018-Q1,Western,Maharashtra,Aurangabad,Public Sector Banks,Semi-Urban,Specialized Credit Cells,9.0,673.55,489.8,72.72
FY2018-Q1,Western,Maharashtra,Aurangabad,Public Sector Banks,Urban,Commercial Branches,28.0,1515.37,1288.43,85.02
FY2018-Q1,Western,Maharashtra,Aurangabad,Public Sector Banks,Urban,Specialized Credit Cells,26.0,2307.93,1466.91,63.56
FY2018-Q1,Western,Maharashtra,Aurangabad,Public Sector Banks,Metropolitan,Commercial Branches,36.0,1854.89,1619.93,87.33
FY2018-Q1,Western,Maharashtra,Aurangabad,Public Sector Banks,Metropolitan,Specialized Credit Cells,58.0,4385.53,4369.27,99.63
FY2018-Q1,Western,Maharashtra,Aurangabad,Private Sector Banks,Rural,Commercial Branches,3.0,249.65,197.06,78.94
FY2018-Q1,Western,Maharashtra,Aurangabad,Private Sector Banks,Rural,Specialized Credit Cells,5.0,276.93,204.24,73.75
FY2018-Q1,Western,Maharashtra,Aurangabad,Private Sector Banks,Semi-Urban,Commercial Branches,14.0,431.68,344.03,79.7
FY2018-Q1,Western,Maharashtra,Aurangabad,Private Sector Banks,Semi-Urban,Specialized Credit Cells,8.0,728.88,499.23,68.49
FY2018-Q1,Western,Maharashtra,Aurangabad,Private Sector Banks,Urban,Commercial Branches,19.0,1099.2,904.58,82.29
FY2018-Q1,Western,  maharashtra,Aurangabad,Private Sector Banks,Urban,Specialized Credit Cells,15.0,662.48,527.57,79.64
FY2018-Q1,Western,Maharashtra,Aurangabad,Private Sector Banks,Metropolitan,Commercial Branches,46.0,901.21,920.85,102.18
FY2018-Q1,Western,Maharashtra,Aurangabad,Private Sector Banks,Metropolitan,Specialized Credit Cells,54.0,2667.48,2630.66,98.62
FY2018-Q1,Western,Maharashtra,Aurangabad,Foreign Banks,Rural,Commercial Branches,1.0,6.87,4.52,65.74
FY2018-Q1,Western,Maharashtra,Aurangabad,Foreign Banks,Rural,Specialized Credit Cells,1.0,6.59,4.94,74.9
FY2018-Q1,Western,Maharashtra,Aurangabad,Foreign Banks,Semi-Urban,Commercial Branches,1.0,14.61,10.25,70.13
FY2018-Q1,Western,Maharashtra,Aurangabad,Foreign Banks,Semi-Urban,Specialized Credit Cells,1.0,18.28,14.41,78.84
FY2018-Q1,Western,Maharashtra,Aurangabad,Foreign Banks,Urban,Commercial Branches,5.0,476.05,389.87,81.9
FY2018-Q1,Western,Maharashtra,Aurangabad,Foreign Banks,Urban,Specialized Credit Cells,7.0,180.8,123.53,68.32
FY2018-Q1,Western,Maharashtra,Aurangabad,Foreign Banks,Metropolitan,Commercial Branches,14.0,1049.09,919.48,87.65
FY2018-Q1,Western,Maharashtra,Aurangabad,Foreign Banks,Metropolitan,Specialized Credit Cells,7.0,723.88,604.87,83.56
FY2018-Q1,Western,Maharashtra,Aurangabad,Regional Rural Banks,Rural,Commercial Branches,1.0,34.39,28.31,82.32
FY2018-Q1,Western,Maharashtra,Aurangabad,Regional Rural Banks,Rural,Specialized Credit Cells,1.0,57.89,44.64,77.11
FY2018-Q1,Western,Maharashtra,Aurangabad,Regional Rural Banks,Semi-Urban,Commercial Branches,2.0,89.74,68.86,76.73
FY2018-Q1,Western,Maharashtra,Aurangabad,Regional Rural Banks,Semi-Urban,Specialized Credit Cells,1.0,150.45,107.99,71.78
FY2018-Q1,Western,Maharashtra,Aurangabad,Regional Rural Banks,Urban,Commercial Branches,2.0,217.54,,86.62
FY2018-Q1,Western,Maharashtra,Aurangabad,Regional Rural Banks,Urban,Specialized Credit Cells,4.0,269.83,195.96,72.63
FY2018-Q1,Western,Maharashtra,Aurangabad,Regional Rural Banks,Metropolitan,Commercial Branches,9.0,539.54,445.54,82.58
FY2018-Q1,Western,Maharashtra,Aurangabad,Regional Rural Banks,Metropolitan,Specialized Credit Cells,6.0,439.28,420.5,95.72
FY2018-Q1,Western,Maharashtra,Solapur,Public Sector Banks,Rural,Commercial Branches,4.0,420.62,335.08,79.66
FY2018-Q1,Western,Maharashtra,Solapur,Public Sector Banks,Rural,Specialized Credit Cells,7.0,475.07,374.14,78.76
FY2018-Q1,Western,Maharashtra,Solapur,Public Sector Banks,Semi-Urban,Commercial Branches,9.0,938.42,724.89,
FY2018-Q1,Western,Maharashtra,Solapur,Public Sector Banks,Semi-Urban,Specialized Credit Cells,8.0,539.6,444.19,82.32
FY2018-Q1,Western,Maharashtra,Solapur,Public Sector Banks,Urban,Commercial Branches,41.0,1664.95,1268.33,76.18
FY2018-Q1,Western,  maharashtra,SOLAPUR,Public Sector Banks,Urban,Specialized Credit Cells,22.0,1700.75,1245.4,73.23
FY2018-Q1,Western,Maharashtra,Solapur,Public Sector Banks,Metropolitan,Commercial Branches,40.0,3614.9,3221.87,89.13
FY2018-Q1,Western,Maharashtra,Solapur,Public Sector Banks,Metropolitan,Specialized Credit Cells,45.0,3173.18,2835.6,89.36
FY2018-Q1,Western,Maharashtra,Solapur,Private Sector Banks,Rural,Commercial Branches,4.0,399.06,267.72,67.09
FY2018-Q1,Western,Maharashtra,Solapur,Private Sector Banks,Rural,Specialized Credit Cells,6.0,307.9,253.69,82.39
FY2018-Q1,Western,Maharashtra,Solapur,Private Sector Banks,Semi-Urban,Commercial Branches,13.0,1145.53,845.66,73.82
FY2018-Q1,Western,Maharashtra,Solapur,Private Sector Banks,Semi-Urban,Specialized Credit Cells,13.0,993.61,723.97,72.86
FY2018-Q1,Western,Maharashtra,Solapur,Private Sector Banks,Urban,Commercial Branches,15.0,752.1,530.14,70.49
FY2018-Q1,Western,Maharashtra,Solapur,Private Sector Banks,Urban,Specialized Credit Cells,17.0,1305.35,1010.41,77.41
FY2018-Q1,Western,MAHARASHTRA ,Solapur,Private Sector Banks,Metropolitan,Commercial Branches,39.0,3550.45,3220.83,90.72
FY2018-Q1,Western,Maharashtra,Solapur,Private Sector Banks,Metropolitan,Specialized Credit Cells,68.0,1729.97,1631.27,94.29
FY2018-Q1,Western,Maharashtra,Solapur,Foreign Banks,Rural,Commercial Branches,1.0,6.83,6.2,90.73
FY2018-Q1,Western,Maharashtra,Solapur,Foreign Banks,Rural,Specialized Credit Cells,1.0,5.0,3.63,72.67
FY2018-Q1,Western,Maharashtra,Solapur,Foreign Banks,Semi-Urban,Commercial Branches,1.0,20.0,14.52,72.58
FY2018-Q1,Western,Maharashtra,Solapur,Foreign Banks,Semi-Urban,Specialized Credit Cells,1.0,11.32,9.03,79.8
FY2018-Q1,Western,Maharashtra,Solapur,Foreign Banks,Urban,Commercial Branches,5.0,657.89,570.89,86.78
