bank_name,bank_group,established_year,ownership_type,fiscal_year,total_deposits_crore,total_advances_crore,gross_npa_crore,net_npa_crore,gnpa_ratio_pct,nnpa_ratio_pct,cd_ratio_pct,return_on_assets_pct,return_on_equity_pct,net_profit_crore
Bank of Baroda,Public Sector Banks,1908,Public,FY2019,90195.63,61693.81,7082.45,2430.74,11.48,3.94,68.4,-0.07,-0.89,-50.51
Bank of Baroda,Public Sector Banks,1908,Public,FY2020,97580.08,80698.73,7480.77,1952.91,9.27,2.42,82.7,0.15,1.73,117.1
Bank of Baroda,Public Sector Banks,1908,Public,FY2021,105550.74,72091.16,5478.93,1535.54,7.6,2.13,68.3,0.3,3.63,253.32
Bank of Baroda,Public Sector Banks,1908,Public,FY2022,114401.18,93236.96,6703.74,1790.15,7.19,1.92,81.5,0.79,9.73,723.02
Bank of Baroda,Public Sector Banks,1908,Public,FY2023,121956.61,86467.24,4591.41,1089.49,5.31,1.26,70.9,0.79,7.6,770.77
Bank of Baroda,Public Sector Banks,1908,Public,FY2024,130116.01,89910.16,3614.39,1141.86,4.02,1.27,69.1,1.14,10.55,1186.66
Canara Bank,Public Sector Banks,1906,Public,FY2018,41308.45,31394.42,3946.28,1309.15,12.57,4.17,76.0,0.02,0.19,6.61
Canara Bank,Public Sector Banks,1906,Public,FY2019,45645.07,36379.12,4070.82,974.96,11.19,2.68,79.7,-0.2,-2.42,-73.03
Canara Bank,Public Sector Banks,1906,Public,FY2020,50169.17,36272.31,3482.14,827.01,9.6,2.28,72.3,0.45,4.65,180.61
Canara Bank,Public Sector Banks,1906,Public,FY2021,53314.13,38172.92,2778.99,954.32,7.28,2.5,71.6,0.33,3.17,140.75
canara bank  ,Public Sector Banks,1906,Public,FY2022,57872.6,42015.51,2848.65,785.69,6.78,1.87,72.6,0.46,5.48,212.97
Canara Bank,Public Sector Banks,1906,Public,FY2023,62453.22,51773.72,2888.97,802.49,5.58,1.55,82.9,1.01,12.39,504.62
Canara Bank,Public Sector Banks,1906,Public,FY2024,66283.88,50773.45,1832.92,629.59,3.61,1.24,76.6,1.25,13.15,662.84
Union Bank of India,Public Sector Banks,1919,Public,FY2018,42089.28,33629.33,4183.49,928.17,12.44,2.76,79.9,-0.66,-7.87,-222.23
Union Bank of India,Public Sector Banks,1919,Public,FY2019,45404.3,31056.54,3236.09,1111.82,10.42,3.58,68.4,-0.14,-1.5,-50.85
Union Bank of India,Public Sector Banks,1919,Public,FY2020,50049.41,41490.96,4169.84,1058.02,10.05,2.55,82.9,0.05,0.49,20.02
Union Bank of India,Public Sector Banks,1919,Public,FY2021,54014.78,43697.96,3648.78,812.78,8.35,1.86,80.9,0.33,4.25,142.6
Union Bank of India,Public Sector Banks,1919,Public,FY2022,58587.04,44233.22,3122.87,791.77,7.06,1.79,75.5,0.59,6.0,276.53
Union Bank of India,Public Sector Banks,1919,Public,FY2023,62282.68,42788.2,2588.69,646.1,6.05,1.51,68.7,0.92,10.17,458.4
Union Bank of India,Public Sector Banks,1919,Public,FY2024,66344.57,47502.71,1790.85,532.03,3.77,1.12,71.6,1.21,13.36,642.22
Bank of India,Public Sector Banks,1906,Public,FY2018,42031.12,30682.72,3872.16,1322.43,12.62,4.31,73.0,0.02,0.23,6.72
Bank of India,Public Sector Banks,1906,Public,FY2019,45418.01,36288.99,3962.76,1349.95,10.92,3.72,79.9,-0.33,-3.29,-119.9
Bank of India,Public Sector Banks,1906,Public,FY2020,49801.96,36903.25,3491.05,1059.12,9.46,2.87,74.1,-0.05,-0.61,-19.92
Bank of India,Public Sector Banks,1906,Public,FY2021,54104.69,38738.96,3207.59,1049.83,8.28,2.71,71.6,0.41,4.78,177.46
Bank of India,Public Sector Banks,1906,Public,FY2022,59243.24,48046.27,3113.4,956.12,6.48,1.99,81.1,0.57,6.85,270.15
Bank of India,Public Sector Banks,1906,Public,FY2023,61550.02,45670.11,2630.6,671.35,5.76,1.47,74.2,0.97,11.17,477.63
Bank of India,Public Sector Banks,1906,Public,FY2024,65747.93,48061.74,2028.21,543.1,4.22,1.13,73.1,1.09,12.75,573.32
Indian Bank,Public Sector Banks,1907,Public,FY2018,42179.32,30706.54,3703.21,1151.5,12.06,3.75,72.8,-0.08,-0.81,-26.99
Indian Bank,Public Sector Banks,1907,Public,FY2019,45823.32,33863.43,3863.82,1212.31,11.41,3.58,73.9,0.22,2.66,80.65
Indian Bank,Public Sector Banks,1907,Public,FY2020,50058.78,35541.73,3550.62,1140.89,9.99,3.21,71.0,0.03,0.29,12.01
Indian Bank,Public Sector Banks,1907,Public,FY2021,54290.63,41803.79,3335.94,765.01,7.98,1.83,77.0,0.75,6.91,325.74
Indian Bank,Public Sector Banks,1907,Public,FY2022,56980.36,46666.91,3304.02,1129.34,7.08,2.42,81.9,0.71,7.5,323.65
Indian Bank,Public Sector Banks,1907,Public,FY2023,60996.84,42636.79,2208.59,613.97,5.18,1.44,69.9,1.02,9.33,497.73
Indian Bank,Public Sector Banks,1907,Public,FY2024,66849.77,46126.34,1738.96,604.26,3.77,1.31,69.0,1.33,16.73,711.28
Central Bank of India,Public Sector Banks,1911,Public,FY2018,42534.47,30327.08,3887.93,1125.13,12.82,3.71,71.3,-0.35,-4.21,-119.1
Central Bank of India,Public Sector Banks,1911,Public,FY2019,45723.75,36030.32,3909.29,1282.68,10.85,3.56,78.8,0.12,1.33,43.89
Central Bank of India,Public Sector Banks,1911,Public,FY2020,49156.19,34655.11,3333.82,797.07,9.62,2.3,70.5,0.38,3.49,149.43
Central Bank of India,Public Sector Banks,1911,Public,FY2021,53816.21,39447.28,3435.86,1069.02,8.71,2.71,73.3,0.45,4.64,193.74
Central Bank of India,Public Sector Banks,1911,Public,FY2022,57392.67,39715.73,2760.24,857.86,6.95,2.16,69.2,0.59,6.58,270.89
Central Bank of India,Public Sector Banks,1911,Public,FY2023,61904.04,49708.94,2838.38,949.44,5.71,1.91,80.3,0.93,11.54,460.57
Central Bank of India,Public Sector Banks,1911,Public,FY2024,65823.29,52000.4,1950.01,676.01,3.75,1.3,79.0,1.27,15.08,668.76
Indian Overseas Bank,Public Sector Banks,1937,Public,FY2018,42297.51,32315.3,4120.2,1027.63,12.75,3.18,76.4,0.08,0.96,27.07
Indian Overseas Bank,Public Sector Banks,1937,Public,FY2019,45979.34,33518.94,3593.23,844.68,10.72,2.52,72.9,-0.2,-2.33,-73.57
Indian Overseas Bank,Public Sector Banks,1937,Public,FY2020,50631.15,39289.77,3610.73,884.02,9.19,2.25,77.6,0.22,2.78,89.11
indian overseas bank  ,Public Sector Banks,1937,Public,FY2021,55163.03,41813.58,3253.1,978.44,7.78,2.34,75.8,0.34,3.9,150.04
Indian Overseas Bank,Public Sector Banks,1937,Public,FY2022,57906.94,42445.79,2771.71,738.56,6.53,1.74,73.3,0.33,3.12,152.87
Indian Overseas Bank,Public Sector Banks,1937,Public,FY2023,61897.01,43327.91,2703.66,901.22,6.24,2.08,70.0,,6.61,321.86
Indian Overseas Bank,Public Sector Banks,1937,Public,FY2024,65915.82,50755.18,2014.98,487.25,3.97,0.96,77.0,1.37,15.83,722.44
UCO Bank,Public Sector Banks,1943,Public,FY2018,41155.38,29755.34,3570.64,883.73,12.0,2.97,72.3,-0.45,-5.81,-148.16
UCO Bank,Public Sector Banks,1943,Public,FY2019,45560.8,34489.53,3624.85,1269.21,10.51,3.68,75.7,-0.26,-2.62,-94.77
UCO Bank,Public Sector Banks,1943,Public,FY2020,50313.22,38439.3,4086.1,1291.56,10.63,3.36,76.4,0.05,0.61,20.13
UCO Bank,Public Sector Banks,1943,Public,FY2021,53594.92,44698.16,3982.61,947.6,8.91,2.12,83.4,0.21,2.22,90.04
UCO Bank,Public Sector Banks,1943,Public,FY2022,57889.32,39827.85,2365.77,553.61,5.94,1.39,68.8,0.36,4.23,166.72
UCO Bank,Public Sector Banks,1943,Public,FY2023,61595.45,49707.53,2743.86,929.53,5.52,1.87,80.7,1.02,10.67,502.62
UCO Bank,Public Sector Banks,1943,Public,FY2024,65723.27,51132.7,2111.78,669.84,4.13,1.31,77.8,1.05,11.52,552.08
Bank of Maharashtra,Public Sector Banks,1935,Public,FY2018,40733.0,33971.32,4117.32,1287.51,12.12,3.79,83.4,-0.12,-1.49,-39.1
Bank of Maharashtra,Public Sector Banks,1935,Public,FY2019,45981.33,32416.84,3549.64,910.91,10.95,2.81,70.5,0.05,0.62,18.39
Bank of Maharashtra,Public Sector Banks,1935,Public,FY2020,50245.36,36729.36,3562.75,1156.97,9.7,3.15,73.1,0.05,0.62,20.1
Bank of Maharashtra,Public Sector Banks,1935,Public,FY2021,54024.76,38303.55,3481.79,1083.99,9.09,2.83,70.9,0.24,2.96,103.73
Bank of Maharashtra,Public Sector Banks,1935,Public,FY2022,57045.3,47290.55,3211.03,1087.68,6.79,2.3,82.9,,9.87,365.09
Bank of Maharashtra,Public Sector Banks,1935,Public,FY2023,62333.69,47685.27,2818.2,910.79,5.91,1.91,76.5,0.92,9.04,458.78
Bank of Maharashtra,Public Sector Banks,1935,Public,FY2024,66349.88,50824.01,2068.54,675.96,4.07,1.33,76.6,0.95,10.32,504.26
Punjab & Sind Bank,Public Sector Banks,1908,Public,FY2018,42622.82,32947.44,4398.48,1021.37,13.35,3.1,77.3,-0.21,-2.34,-71.61
Punjab & Sind Bank,Public Sector Banks,1908,Public,FY2019,45957.24,37133.45,4337.19,1013.74,11.68,2.73,80.8,0.1,1.15,36.77
Punjab & Sind Bank,Public Sector Banks,1908,Public,FY2020,50354.34,41844.46,3991.96,1108.88,9.54,2.65,83.1,0.1,1.3,40.28
Punjab & Sind Bank,Public Sector Banks,1908,Public,FY2021,54623.96,45283.26,3224.17,851.33,7.12,1.88,82.9,0.41,4.77,179.17
Punjab & Sind Bank,Public Sector Banks,1908,Public,FY2022,57492.86,46051.78,3283.49,999.32,7.13,2.17,80.1,0.75,9.29,344.96
Punjab & Sind Bank,Public Sector Banks,1908,Public,FY2023,61056.1,43105.61,2349.26,659.52,5.45,1.53,70.6,0.92,8.55,449.37
Punjab & Sind Bank,Public Sector Banks,1908,Public,FY2024,65620.28,47312.22,2214.21,534.63,4.68,1.13,72.1,1.35,12.8,708.7
HDFC Bank Ltd.,Private Sector Banks,1994,Private,FY2018,82593.32,61779.8,3607.94,920.52,5.84,1.49,74.8,-0.34,-3.82,-224.65
HDFC Bank Ltd.,Private Sector Banks,1994,Private,FY2019,90238.09,69934.52,3363.85,846.21,4.81,1.21,77.5,0.08,1.03,57.75
HDFC Bank Ltd.,Private Sector Banks,1994,Private,FY2020,98274.58,68104.28,2969.35,939.84,4.36,1.38,69.3,0.56,5.34,440.27
HDFC Bank Ltd.,Private Sector Banks,1994,Private,FY2021,106050.59,72750.7,2822.73,887.56,3.88,1.22,68.6,0.59,6.0,500.56
HDFC Bank Ltd.,Private Sector Banks,1994,Private,FY2022,113471.43,89415.49,2914.94,983.57,3.26,1.1,78.8,0.64,6.39,580.97
HDFC Bank Ltd.,Private Sector Banks,1994,Private,FY2023,122572.49,86291.03,2597.36,664.44,3.01,0.77,70.4,0.83,9.69,813.88
HDFC Bank Ltd.,Private Sector Banks,1994,Private,FY2024,129576.82,101329.07,1519.94,405.32,1.5,0.4,78.2,1.06,9.93,1098.81
ICICI Bank Ltd.,Private Sector Banks,1994,Private,FY2018,82495.31,68966.08,3703.48,903.46,5.37,1.31,83.6,-0.52,-6.2,-343.18
ICICI Bank Ltd.,Private Sector Banks,1994,Private,FY2019,89784.66,67158.93,3216.91,1067.83,4.79,1.59,74.8,-0.11,-1.37,-79.01
ICICI Bank Ltd.,Private Sector Banks,1994,Private,FY2020,98629.85,78805.25,3790.53,922.02,4.81,1.17,79.9,0.41,4.78,323.51
ICICI Bank Ltd.,Private Sector Banks,1994,Private,FY2021,105475.73,84591.54,3806.62,998.18,4.5,1.18,80.2,0.37,3.4,312.21
ICICI Bank Ltd.,Private Sector Banks,1994,Private,FY2022,113374.26,91039.53,3204.59,974.12,3.52,1.07,80.3,0.51,5.31,462.57
icici bank ltd.  ,Private Sector Banks,1994,Private,FY2023,121712.43,84955.28,2557.15,815.57,3.01,0.96,69.8,1.18,12.86,1148.97
ICICI Bank Ltd.,Private Sector Banks,1994,Private,FY2024,128949.02,105867.15,2869.0,741.07,2.71,0.7,82.1,0.94,9.43,969.7
Axis Bank Ltd.,Private Sector Banks,1993,Private,FY2018,29299.27,22531.14,1338.35,389.79,5.94,1.73,76.9,-0.38,-4.4,-89.07
Axis Bank Ltd.,Private Sector Banks,1993,Private,FY2019,33273.67,24023.59,1354.93,410.8,5.64,1.71,72.2,-0.21,-2.13,-55.9
Axis Bank Ltd.,Private Sector Banks,1993,Private,FY2020,35777.4,28550.37,1336.16,422.55,4.68,1.48,79.8,0.42,4.52,120.21
Axis Bank Ltd.,Private Sector Banks,1993,Private,FY2021,39480.54,27557.42,1207.01,297.62,4.38,1.08,69.8,0.62,7.59,195.82
Axis Bank Ltd.,Private Sector Banks,1993,Private,FY2022,41719.21,29870.95,994.7,334.55,3.33,1.12,71.6,0.83,10.72,277.02
Axis Bank Ltd.,Private Sector Banks,1993,Private,FY2023,44701.95,31961.89,1204.96,357.97,3.77,1.12,71.5,0.92,11.25,329.01
Axis Bank Ltd.,Private Sector Banks,1993,Private,FY2024,47202.58,35449.14,641.63,184.34,1.81,0.52,75.1,1.25,15.28,472.03
Kotak Mahindra Bank Ltd.,Private Sector Banks,2003,Private,FY2018,29873.56,22225.93,1400.23,444.52,6.3,2.0,74.4,-0.14,-1.3,-33.46
Kotak Mahindra Bank Ltd.,Private Sector Banks,2003,Private,FY2019,31806.38,21819.18,1165.14,268.38,5.34,1.23,68.6,0.18,1.7,45.8
Kotak Mahindra Bank Ltd.,Private Sector Banks,2003,Private,FY2020,35500.33,25347.24,1196.39,347.26,4.72,1.37,71.4,-0.11,-0.99,-31.24
Kotak Mahindra Bank Ltd.,Private Sector Banks,2003,Private,FY2021,38816.0,31285.7,1342.16,425.49,4.29,1.36,80.6,0.39,4.0,121.11
Kotak Mahindra Bank Ltd.,Private Sector Banks,2003,Private,FY2022,41626.49,32135.65,1160.1,295.65,3.61,0.92,77.2,0.64,7.51,213.13
Kotak Mahindra Bank Ltd.,Private Sector Banks,2003,Private,FY2023,44950.39,30925.87,906.13,213.39,2.93,0.69,68.8,0.84,10.17,302.07
Kotak Mahindra Bank Ltd.,Private Sector Banks,2003,Private,FY2024,47684.45,38672.09,796.65,189.49,2.06,0.49,81.1,1.17,10.71,446.33
IndusInd Bank Ltd.,Private Sector Banks,1994,Private,FY2018,30005.17,24094.15,1274.58,421.65,5.29,1.75,80.3,-0.34,-3.77,-81.61
IndusInd Bank Ltd.,Private Sector Banks,1994,Private,FY2019,32352.87,25914.65,1389.03,321.34,5.36,1.24,80.1,-0.32,-3.53,-82.82
IndusInd Bank Ltd.,Private Sector Banks,1994,Private,FY2020,34986.62,27989.3,1281.91,307.88,4.58,1.1,80.0,0.12,1.52,33.59
IndusInd Bank Ltd.,Private Sector Banks,1994,Private,FY2021,38597.34,30144.52,1284.16,370.78,4.26,1.23,78.1,0.64,7.4,197.62
IndusInd Bank Ltd.,Private Sector Banks,1994,Private,FY2022,41672.97,28504.31,1011.9,347.75,3.55,1.22,68.4,0.44,4.78,146.69
IndusInd Bank Ltd.,Private Sector Banks,1994,Private,FY2023,44198.91,36022.11,1210.34,313.39,3.36,0.87,81.5,0.82,8.3,289.94
IndusInd Bank Ltd.,Private Sector Banks,1994,Private,FY2024,47648.29,38976.3,927.64,280.63,2.38,0.72,81.8,1.01,9.57,385.0
Yes Bank Ltd.,Private Sector Banks,2004,Private,FY2018,29959.89,20642.36,1056.89,355.05,5.12,1.72,68.9,-0.19,-2.43,-45.54
Yes Bank Ltd.,Private Sector Banks,2004,Private,FY2019,32800.92,26962.36,1321.16,374.78,4.9,1.39,82.2,-0.2,-2.08,-52.48
Yes Bank Ltd.,Private Sector Banks,2004,Private,FY2020,35926.67,27340.2,1440.83,475.72,5.27,1.74,76.1,0.19,2.39,54.61
Yes Bank Ltd.,Private Sector Banks,2004,Private,FY2021,38992.45,29244.34,1117.13,295.37,3.82,1.01,75.0,0.36,4.17,112.3
Yes Bank Ltd.,Private Sector Banks,2004,Private,FY2022,42192.46,32150.65,1253.88,276.5,3.9,0.86,76.2,0.83,9.75,280.16
Yes Bank Ltd.,Private Sector Banks,2004,Private,FY2023,44516.51,35435.14,1165.82,368.53,3.29,1.04,79.6,0.79,7.25,281.34
Yes Bank Ltd.,Private Sector Banks,2004,Private,FY2024,47379.55,39609.3,1014.0,289.15,2.56,0.73,83.6,1.09,14.12,413.15
Federal Bank Ltd.,Private Sector Banks,1931,Private,FY2018,30255.69,25233.25,1521.56,524.85,6.03,2.08,83.4,-0.31,-3.75,-75.03
Federal Bank Ltd.,Private Sector Banks,1931,Private,FY2019,32817.98,27074.83,1391.65,427.78,5.14,1.58,82.5,-0.37,-3.59,-97.14
Federal Bank Ltd.,Private Sector Banks,1931,Private,FY2020,36021.29,30113.8,1385.23,373.41,4.6,1.24,83.6,0.26,2.89,74.92
Federal Bank Ltd.,Private Sector Banks,1931,Private,FY2021,38049.63,28232.83,1352.35,330.32,4.79,1.17,74.2,0.41,3.95,124.8
Federal Bank Ltd.,Private Sector Banks,1931,Private,FY2022,41408.74,34162.21,1055.61,351.87,3.09,1.03,82.5,0.8,7.84,265.02
Federal Bank Ltd.,Private Sector Banks,1931,Private,FY2023,43722.66,35896.3,915.36,305.12,2.55,0.85,82.1,0.94,11.25,328.79
Federal Bank Ltd.,Private Sector Banks,1931,Private,FY2024,46666.53,32619.9,766.57,241.39,2.35,0.74,69.9,1.45,13.39,541.33
IDFC First Bank Ltd.,Private Sector Banks,2015,Private,FY2018,29631.97,22579.56,1275.75,401.92,5.65,1.78,76.2,-0.41,-3.76,-97.19
IDFC First Bank Ltd.,Private Sector Banks,2015,Private,FY2019,32460.77,23241.91,1336.41,341.66,5.75,1.47,71.6,-0.05,-0.47,-12.98
IDFC First Bank Ltd.,Private Sector Banks,2015,Private,FY2020,35817.7,27364.72,1412.02,322.9,5.16,1.18,76.4,0.42,5.08,120.35
IDFC First Bank Ltd.,Private Sector Banks,2015,Private,FY2021,39023.3,31647.9,1623.54,433.58,5.13,1.37,81.1,0.48,4.49,149.85
IDFC First Bank Ltd.,Private Sector Banks,2015,Private,FY2022,41323.1,31116.29,1085.96,248.93,3.49,0.8,75.3,0.96,9.34,317.36
IDFC First Bank Ltd.,Private Sector Banks,2015,Private,FY2023,44374.86,32038.65,932.32,224.27,2.91,0.7,72.2,0.91,11.26,323.05
IDFC First Bank Ltd.,Private Sector Banks,2015,Private,FY2024,47573.57,35204.44,932.92,225.31,2.65,0.64,74.0,1.08,11.31,411.04
Bandhan Bank Ltd.,Private Sector Banks,2015,Private,FY2018,29825.4,21891.84,1271.92,380.92,5.81,1.74,73.4,-0.21,-2.49,-50.11
Bandhan Bank Ltd.,Private Sector Banks,2015,Private,FY2019,32366.52,23983.59,1251.94,290.2,5.22,1.21,74.1,-0.2,-1.9,-51.79
Bandhan Bank Ltd.,Private Sector Banks,2015,Private,FY2020,35879.36,26945.4,1331.1,347.6,4.94,1.29,75.1,0.22,2.44,63.15
Bandhan Bank Ltd.,Private Sector Banks,2015,Private,FY2021,38519.22,29043.49,1161.74,368.85,4.0,1.27,75.4,0.56,6.14,172.57
Bandhan Bank Ltd.,Private Sector Banks,2015,Private,FY2022,41792.64,31177.31,901.02,261.89,2.89,0.84,74.6,0.21,2.39,70.21
bandhan bank ltd.  ,Private Sector Banks,2015,Private,FY2023,44904.29,30669.63,1082.64,322.03,3.53,1.05,68.3,1.0,11.11,359.23
Bandhan Bank Ltd.,Private Sector Banks,2015,Private,FY2024,46665.87,34112.75,1006.33,310.43,2.95,0.91,73.1,0.99,11.91,369.59
City Union Bank Ltd.,Private Sector Banks,1904,Private,FY2018,29408.38,20232.97,1252.42,305.52,6.19,1.51,68.8,-0.23,-2.36,-54.11
City Union Bank Ltd.,Private Sector Banks,1904,Private,FY2019,32495.64,26223.98,1295.46,382.87,4.94,1.46,80.7,-0.37,-3.98,-96.19
City Union Bank Ltd.,Private Sector Banks,1904,Private,FY2020,35663.93,26890.6,1118.65,247.39,4.16,0.92,75.4,0.04,0.42,11.41
city union bank ltd.  ,Private Sector Banks,1904,Private,FY2021,38854.96,26460.23,1098.1,248.73,4.15,0.94,68.1,0.43,3.9,133.66
City Union Bank Ltd.,Private Sector Banks,1904,Private,FY2022,41222.68,34091.16,1353.42,357.96,3.97,1.05,82.7,0.41,3.9,135.21
City Union Bank Ltd.,Private Sector Banks,1904,Private,FY2023,44329.78,30277.24,971.9,257.36,3.21,0.85,68.3,1.41,16.31,500.04
City Union Bank Ltd.,Private Sector Banks,1904,Private,FY2024,47978.06,36751.19,823.23,242.56,2.24,0.66,76.6,1.09,14.0,418.37
Karur Vysya Bank,Private Sector Banks,1916,Private,FY2018,29620.14,23814.59,1293.13,359.6,5.43,1.51,80.4,-0.35,-4.13,-82.94
Karur Vysya Bank,Private Sector Banks,1916,Private,FY2019,32119.34,26402.1,1441.55,327.39,5.46,1.24,82.2,-0.49,-5.59,-125.91
Karur Vysya Bank,Private Sector Banks,1916,Private,FY2020,35505.13,29043.2,1312.75,354.33,4.52,1.22,81.8,0.09,1.07,25.56
Karur Vysya Bank,Private Sector Banks,1916,Private,FY2021,38914.13,28057.09,1111.06,288.99,3.96,1.03,72.1,0.2,2.02,62.26
Karur Vysya Bank,Private Sector Banks,1916,Private,FY2022,41864.16,29974.74,1148.03,395.67,3.83,1.32,71.6,0.76,6.97,254.53
Karur Vysya Bank,Private Sector Banks,1916,Private,FY2023,44756.64,34954.94,1041.66,356.54,2.98,1.02,78.1,0.73,8.48,261.38
Karur Vysya Bank,Private Sector Banks,1916,Private,FY2024,47151.38,32345.85,857.17,239.36,2.65,0.74,68.6,1.31,16.32,494.15
RBL Bank Ltd.,Private Sector Banks,1943,Private,FY2018,29220.4,19928.31,1106.02,253.09,5.55,1.27,68.2,-0.33,-4.25,-77.14
RBL Bank Ltd.,Private Sector Banks,1943,Private,FY2019,33389.44,25042.08,1222.05,370.62,4.88,1.48,75.0,-0.26,-2.37,-69.45
RBL Bank Ltd.,Private Sector Banks,1943,Private,FY2020,35697.52,27201.51,992.86,244.81,3.65,0.9,76.2,0.28,2.91,79.96
RBL Bank Ltd.,Private Sector Banks,1943,Private,FY2021,39532.79,32337.82,1312.92,339.55,4.06,1.05,81.8,0.16,1.45,50.6
RBL Bank Ltd.,Private Sector Banks,1943,Private,FY2022,41506.52,28888.54,898.43,309.11,3.11,1.07,69.6,0.74,7.84,245.72
rbl bank ltd.  ,Private Sector Banks,1943,Private,FY2023,43927.15,31276.13,822.56,250.21,2.63,0.8,71.2,0.93,10.27,326.82
rbl bank ltd.  ,Private Sector Banks,1943,Private,FY2024,46961.66,37381.48,1042.94,340.17,2.79,0.91,79.6,1.09,11.61,409.51
Citibank N.A.,Foreign Banks,1902,Foreign,FY2018,17490.93,13642.93,527.98,140.52,3.87,1.03,78.0,-0.23,-2.08,-32.18
Citibank N.A.,Foreign Banks,1902,Foreign,FY2019,19454.92,16167.04,575.55,176.22,3.56,1.09,83.1,-0.09,-0.88,-14.01
Citibank N.A.,Foreign Banks,1902,Foreign,FY2020,21130.07,16904.06,562.91,140.3,3.33,0.83,80.0,0.38,4.02,64.24
Citibank N.A.,Foreign Banks,1902,Foreign,FY2021,23265.56,19170.82,452.43,103.52,2.36,0.54,82.4,0.0,0.0,0.0
Citibank N.A.,Foreign Banks,1902,Foreign,FY2022,25146.59,17124.83,400.72,102.75,2.34,0.6,68.1,0.53,6.88,106.62
Citibank N.A.,Foreign Banks,1902,Foreign,FY2023,27343.16,20917.52,614.98,204.99,2.94,0.98,76.5,0.7,7.09,153.12
Citibank N.A.,Foreign Banks,1902,Foreign,FY2024,27799.14,23073.29,346.1,108.44,1.5,0.47,83.0,1.11,10.54,246.86
Standard Chartered Bank,Foreign Banks,1858,Foreign,FY2018,17587.63,12592.74,449.56,142.3,3.57,1.13,71.6,-0.54,-5.6,-75.98
Standard Chartered Bank,Foreign Banks,1858,Foreign,FY2019,19639.55,14474.35,519.63,166.46,3.59,1.15,73.7,-0.06,-0.6,-9.43
Standard Chartered Bank,Foreign Banks,1858,Foreign,FY2020,21414.13,14925.65,526.88,123.88,3.53,0.83,69.7,0.33,3.77,56.53
Standard Chartered Bank,Foreign Banks,1858,Foreign,FY2021,23509.0,17044.02,402.24,126.13,2.36,0.74,72.5,0.6,6.52,112.84
Standard Chartered Bank,Foreign Banks,1858,Foreign,FY2022,25243.4,17367.46,413.35,121.57,2.38,0.7,68.8,,9.01,179.73
Standard Chartered Bank,Foreign Banks,1858,Foreign,FY2023,27257.89,22651.31,339.77,95.14,1.5,0.42,83.1,0.99,9.48,215.88
Standard Chartered Bank,Foreign Banks,1858,Foreign,FY2024,27916.16,19513.4,419.54,132.69,2.15,0.68,69.9,,13.56,243.43
HSBC Ltd.,Foreign Banks,1853,Foreign,FY2018,18892.5,14169.38,494.51,162.95,3.49,1.15,75.0,-0.24,-2.16,-36.27
HSBC Ltd.,Foreign Banks,1853,Foreign,FY2019,19239.93,16007.62,544.26,156.87,3.4,0.98,83.2,-0.08,-0.75,-12.31
