quarter,sector_name,category,base_share_pct,credit_deployed_crore,yoy_growth_pct
FY2020-Q3,Personal Loans - Vehicle Loans,Retail / Personal,5.0,6176.52,9.49
FY2020-Q3,Personal Loans - Credit Cards,Retail / Personal,2.0,2470.61,11.36
FY2020-Q3,Personal Loans - Other Personal Loans,Retail / Personal,6.0,7411.82,10.86
FY2020-Q4,Agriculture and Allied Activities,Priority Sector,14.0,16410.52,10.57
FY2020-Q4,Industry - Micro & Small,Priority Sector,6.0,7033.08,10.29
FY2020-Q4,Industry - Medium,Non-Priority Sector,4.0,4688.72,10.82
FY2020-Q4,Industry - Large,Non-Priority Sector,22.0,24653.29,9.45
FY2020-Q4,Services - Transport Operators,Services,3.0,3826.0,10.82
FY2020-Q4,Services - Trade (Wholesale & Retail),Services,8.0,10202.65,11.82
FY2020-Q4,Services - Commercial Real Estate,Services,4.0,5101.33,9.87
FY2020-Q4,Services - NBFCs,Services,11.0,14028.65,10.14
FY2020-Q4,Personal Loans - Housing,Retail / Personal,15.0,19129.98,8.3
FY2020-Q4,Personal Loans - Vehicle Loans,Retail / Personal,5.0,6376.66,9.41
FY2020-Q4,Personal Loans - Credit Cards,Retail / Personal,2.0,2550.66,10.1
FY2020-Q4,Personal Loans - Other Personal Loans,Retail / Personal,6.0,7651.99,10.7
FY2021-Q1,Agriculture and Allied Activities,Priority Sector,14.0,16807.84,8.78
FY2021-Q1,Industry - Micro & Small,Priority Sector,6.0,7203.36,12.57
FY2021-Q1,Industry - Medium,Non-Priority Sector,4.0,4802.24,11.9
FY2021-Q1,Industry - Large,Non-Priority Sector,22.0,25144.53,11.68
FY2021-Q1,Services - Transport Operators,Services,3.0,3947.44,10.87
FY2021-Q1,Services - Trade (Wholesale & Retail),Services,8.0,10526.51,11.39
FY2021-Q1,Services - Commercial Real Estate,Services,4.0,5263.26,10.3
FY2021-Q1,Services - NBFCs,Services,11.0,14473.95,11.42
FY2021-Q1,Personal Loans - Housing,Retail / Personal,15.0,19737.21,
FY2021-Q1,Personal Loans - Vehicle Loans,Retail / Personal,5.0,6579.07,8.75
FY2021-Q1,Personal Loans - Credit Cards,Retail / Personal,2.0,2631.63,10.58
FY2021-Q1,Personal Loans - Other Personal Loans,Retail / Personal,6.0,7894.88,8.71
FY2021-Q2,Agriculture and Allied Activities,Priority Sector,14.0,17205.16,11.02
FY2021-Q2,Industry - Micro & Small,Priority Sector,6.0,7373.64,12.36
FY2021-Q2,Industry - Medium,Non-Priority Sector,4.0,4915.76,9.49
FY2021-Q2,Industry - Large,Non-Priority Sector,22.0,25630.77,12.09
FY2021-Q2, SERVICES - TRANSPORT OPERATORS ,Services,3.0,4070.25,9.68
FY2021-Q2,Services - Trade (Wholesale & Retail),Services,8.0,10854.0,10.85
FY2021-Q2, SERVICES - COMMERCIAL REAL ESTATE ,Services,4.0,5427.0,9.5
FY2021-Q2,Services - NBFCs,Services,11.0,14924.25,9.74
FY2021-Q2,Personal Loans - Housing,Retail / Personal,15.0,20351.25,11.95
FY2021-Q2,Personal Loans - Vehicle Loans,Retail / Personal,5.0,6783.75,9.55
FY2021-Q2,Personal Loans - Credit Cards,Retail / Personal,2.0,2713.5,10.57
FY2021-Q2,Personal Loans - Other Personal Loans,Retail / Personal,6.0,8140.5,9.03
FY2021-Q3,Agriculture and Allied Activities,Priority Sector,14.0,17602.48,10.86
FY2021-Q3,Industry - Micro & Small,Priority Sector,6.0,7543.92,10.17
FY2021-Q3,Industry - Medium,Non-Priority Sector,4.0,5029.28,10.02
FY2021-Q3,Industry - Large,Non-Priority Sector,22.0,26112.02,10.8
FY2021-Q3,Services - Transport Operators,Services,3.0,4194.42,11.65
FY2021-Q3,Services - Trade (Wholesale & Retail),Services,8.0,11185.12,11.55
FY2021-Q3,Services - Commercial Real Estate,Services,4.0,5592.56,9.41
FY2021-Q3,Services - NBFCs,Services,11.0,15379.54,11.79
FY2021-Q3,Personal Loans - Housing,Retail / Personal,15.0,20972.1,10.72
FY2021-Q3,Personal Loans - Vehicle Loans,Retail / Personal,5.0,6990.7,11.22
FY2021-Q3,Personal Loans - Credit Cards,Retail / Personal,2.0,2796.28,9.99
FY2021-Q3,Personal Loans - Other Personal Loans,Retail / Personal,6.0,8388.84,12.27
FY2021-Q4,Agriculture and Allied Activities,Priority Sector,14.0,17999.8,11.22
FY2021-Q4,Industry - Micro & Small,Priority Sector,6.0,7714.2,11.09
FY2021-Q4,Industry - Medium,Non-Priority Sector,4.0,5142.8,9.75
FY2021-Q4,Industry - Large,Non-Priority Sector,22.0,26588.28,10.68
FY2021-Q4,Services - Transport Operators,Services,3.0,4319.95,11.67
FY2021-Q4,Services - Trade (Wholesale & Retail),Services,8.0,11519.87,11.51
FY2021-Q4,Services - Commercial Real Estate,Services,4.0,5759.94,8.74
FY2021-Q4,Services - NBFCs,Services,11.0,15839.82,12.21
FY2021-Q4,Personal Loans - Housing,Retail / Personal,15.0,21599.76,12.41
FY2021-Q4,Personal Loans - Vehicle Loans,Retail / Personal,5.0,7199.92,11.56
FY2021-Q4,Personal Loans - Credit Cards,Retail / Personal,2.0,2879.97,9.07
FY2021-Q4,Personal Loans - Other Personal Loans,Retail / Personal,6.0,8639.9,11.63
FY2022-Q1,Agriculture and Allied Activities,Priority Sector,14.0,18397.12,9.05
FY2022-Q1,Industry - Micro & Small,Priority Sector,6.0,7884.48,12.39
FY2022-Q1,Industry - Medium,Non-Priority Sector,4.0,5256.32,13.05
FY2022-Q1,Industry - Large,Non-Priority Sector,22.0,27059.54,11.83
FY2022-Q1,Services - Transport Operators,Services,3.0,4446.85,10.93
FY2022-Q1,Services - Trade (Wholesale & Retail),Services,8.0,11858.26,12.39
FY2022-Q1,Services - Commercial Real Estate,Services,4.0,5929.13,11.69
FY2022-Q1,Services - NBFCs,Services,11.0,16305.1,11.5
FY2022-Q1,Personal Loans - Housing,Retail / Personal,15.0,22234.23,10.61
FY2022-Q1,Personal Loans - Vehicle Loans,Retail / Personal,5.0,7411.41,11.76
FY2022-Q1,Personal Loans - Credit Cards,Retail / Personal,2.0,2964.56,10.99
FY2022-Q1,Personal Loans - Other Personal Loans,Retail / Personal,6.0,8893.69,9.47
FY2022-Q2,Agriculture and Allied Activities,Priority Sector,14.0,18794.44,11.77
FY2022-Q2,Industry - Micro & Small,Priority Sector,6.0,8054.76,11.23
FY2022-Q2,Industry - Medium,Non-Priority Sector,4.0,5369.84,10.68
FY2022-Q2,Industry - Large,Non-Priority Sector,22.0,27525.8,13.93
FY2022-Q2,Services - Transport Operators,Services,3.0,4575.1,10.69
FY2022-Q2,Services - Trade (Wholesale & Retail),Services,8.0,12200.28,12.17
FY2022-Q2,Services - Commercial Real Estate,Services,4.0,6100.14,10.34
FY2022-Q2,Services - NBFCs,Services,11.0,16775.38,12.32
FY2022-Q2,Personal Loans - Housing,Retail / Personal,15.0,22875.52,11.31
FY2022-Q2,Personal Loans - Vehicle Loans,Retail / Personal,5.0,7625.17,11.09
FY2022-Q2,Personal Loans - Credit Cards,Retail / Personal,2.0,3050.07,11.58
FY2022-Q2,Personal Loans - Other Personal Loans,Retail / Personal,6.0,9150.21,12.71
FY2022-Q3,Agriculture and Allied Activities,Priority Sector,14.0,19191.76,12.1
FY2022-Q3,Industry - Micro & Small,Priority Sector,6.0,8225.04,10.92
FY2022-Q3,Industry - Medium,Non-Priority Sector,4.0,5483.36,13.77
FY2022-Q3,Industry - Large,Non-Priority Sector,22.0,27987.07,10.15
FY2022-Q3,Services - Transport Operators,Services,3.0,4704.72,12.75
FY2022-Q3,Services - Trade (Wholesale & Retail),Services,8.0,12545.93,10.65
FY2022-Q3,Services - Commercial Real Estate,Services,4.0,6272.96,10.9
FY2022-Q3,Services - NBFCs,Services,11.0,17250.65,12.6
FY2022-Q3,Personal Loans - Housing,Retail / Personal,15.0,23523.61,13.24
FY2022-Q3,Personal Loans - Vehicle Loans,Retail / Personal,5.0,7841.2,10.24
FY2022-Q3,Personal Loans - Credit Cards,Retail / Personal,2.0,3136.48,12.25
FY2022-Q3,Personal Loans - Other Personal Loans,Retail / Personal,6.0,9409.45,12.19
FY2022-Q4,Agriculture and Allied Activities,Priority Sector,14.0,19589.08,11.51
FY2022-Q4,Industry - Micro & Small,Priority Sector,6.0,8395.32,13.2
FY2022-Q4,Industry - Medium,Non-Priority Sector,4.0,5596.88,12.32
FY2022-Q4,Industry - Large,Non-Priority Sector,22.0,28443.34,15.8
FY2022-Q4,Services - Transport Operators,Services,3.0,4835.7,12.56
FY2022-Q4,Services - Trade (Wholesale & Retail),Services,8.0,12895.21,11.09
FY2022-Q4,Services - Commercial Real Estate,Services,4.0,6447.61,12.03
FY2022-Q4,Services - NBFCs,Services,11.0,17730.92,11.96
FY2022-Q4,Personal Loans - Housing,Retail / Personal,15.0,24178.52,
FY2022-Q4,Personal Loans - Vehicle Loans,Retail / Personal,5.0,8059.51,12.53
FY2022-Q4,Personal Loans - Credit Cards,Retail / Personal,2.0,3223.8,
FY2022-Q4,Personal Loans - Other Personal Loans,Retail / Personal,6.0,9671.41,10.11
FY2023-Q1,Agriculture and Allied Activities,Priority Sector,14.0,19986.4,13.3
FY2023-Q1,Industry - Micro & Small,Priority Sector,6.0,8565.6,13.19
FY2023-Q1,Industry - Medium,Non-Priority Sector,4.0,5710.4,12.26
FY2023-Q1,Industry - Large,Non-Priority Sector,22.0,28894.62,11.36
FY2023-Q1,Services - Transport Operators,Services,3.0,4968.05,12.88
FY2023-Q1,Services - Trade (Wholesale & Retail),Services,8.0,13248.13,10.79
FY2023-Q1,Services - Commercial Real Estate,Services,4.0,6624.06,11.04
FY2023-Q1,Services - NBFCs,Services,11.0,18216.18,12.25
FY2023-Q1,Personal Loans - Housing,Retail / Personal,15.0,24840.24,11.66
FY2023-Q1,Personal Loans - Vehicle Loans,Retail / Personal,5.0,8280.08,11.26
FY2023-Q1,Personal Loans - Credit Cards,Retail / Personal,2.0,3312.03,13.05
FY2023-Q1,Personal Loans - Other Personal Loans,Retail / Personal,6.0,9936.1,13.47
FY2023-Q2,Agriculture and Allied Activities,Priority Sector,14.0,20383.72,11.4
FY2023-Q2,Industry - Micro & Small,Priority Sector,6.0,8735.88,11.93
FY2023-Q2,Industry - Medium,Non-Priority Sector,4.0,5823.92,12.31
FY2023-Q2,Industry - Large,Non-Priority Sector,22.0,29340.91,11.16
FY2023-Q2,Services - Transport Operators,Services,3.0,5101.75,14.35
FY2023-Q2,Services - Trade (Wholesale & Retail),Services,8.0,13604.68,11.6
FY2023-Q2,Services - Commercial Real Estate,Services,4.0,6802.34,14.98
FY2023-Q2,Services - NBFCs,Services,11.0,18706.43,11.8
FY2023-Q2,Personal Loans - Housing,Retail / Personal,15.0,25508.77,11.33
FY2023-Q2,Personal Loans - Vehicle Loans,Retail / Personal,5.0,8502.92,12.09
FY2023-Q2,Personal Loans - Credit Cards,Retail / Personal,2.0,3401.17,12.13
FY2023-Q2,Personal Loans - Other Personal Loans,Retail / Personal,6.0,10203.51,12.98
FY2023-Q3,Agriculture and Allied Activities,Priority Sector,14.0,20781.04,14.4
FY2023-Q3,Industry - Micro & Small,Priority Sector,6.0,8906.16,
FY2023-Q3,Industry - Medium,Non-Priority Sector,4.0,5937.44,10.74
FY2023-Q3,Industry - Large,Non-Priority Sector,22.0,29782.2,12.25
FY2023-Q3,Services - Transport Operators,Services,3.0,5236.82,11.88
FY2023-Q3,Services - Trade (Wholesale & Retail),Services,8.0,13964.86,11.51
FY2023-Q3,Services - Commercial Real Estate,Services,4.0,6982.43,11.09
FY2023-Q3,Services - NBFCs,Services,11.0,19201.68,15.4
FY2023-Q3,Personal Loans - Housing,Retail / Personal,15.0,26184.11,10.85
FY2023-Q3,Personal Loans - Vehicle Loans,Retail / Personal,5.0,8728.04,14.03
FY2023-Q3,Personal Loans - Credit Cards,Retail / Personal,2.0,3491.21,12.58
FY2023-Q3,Personal Loans - Other Personal Loans,Retail / Personal,6.0,10473.64,12.88
FY2023-Q4,Agriculture and Allied Activities,Priority Sector,14.0,21178.36,10.44
FY2023-Q4,Industry - Micro & Small,Priority Sector,6.0,9076.44,11.67
FY2023-Q4,Industry - Medium,Non-Priority Sector,4.0,6050.96,11.19
FY2023-Q4,Industry - Large,Non-Priority Sector,22.0,30218.49,13.1
FY2023-Q4,Services - Transport Operators,Services,3.0,5373.25,13.07
FY2023-Q4,Services - Trade (Wholesale & Retail),Services,8.0,14328.67,12.19
FY2023-Q4,Services - Commercial Real Estate,Services,4.0,7164.34,13.57
FY2023-Q4,Services - NBFCs,Services,11.0,19701.93,15.37
FY2023-Q4,Personal Loans - Housing,Retail / Personal,15.0,26866.26,13.88
FY2023-Q4,Personal Loans - Vehicle Loans,Retail / Personal,5.0,8955.42,12.69
FY2023-Q4,Personal Loans - Credit Cards,Retail / Personal,2.0,3582.17,13.68
FY2023-Q4,Personal Loans - Other Personal Loans,Retail / Personal,6.0,10746.5,13.01
FY2024-Q1,Agriculture and Allied Activities,Priority Sector,14.0,21575.68,9.14
FY2024-Q1,Industry - Micro & Small,Priority Sector,6.0,9246.72,12.73
FY2024-Q1,Industry - Medium,Non-Priority Sector,4.0,6164.48,11.98
FY2024-Q1,Industry - Large,Non-Priority Sector,22.0,30649.79,12.8
FY2024-Q1,Services - Transport Operators,Services,3.0,5511.05,12.59
FY2024-Q1,Services - Trade (Wholesale & Retail),Services,8.0,14696.12,13.98
FY2024-Q1,Services - Commercial Real Estate,Services,4.0,7348.06,13.26
FY2024-Q1,Services - NBFCs,Services,11.0,20207.17,15.48
FY2024-Q1,Personal Loans - Housing,Retail / Personal,15.0,27555.23,12.13
FY2024-Q1,Personal Loans - Vehicle Loans,Retail / Personal,5.0,9185.08,12.61
FY2024-Q1, PERSONAL LOANS - CREDIT CARDS ,Retail / Personal,2.0,3674.03,10.39
FY2024-Q1,Personal Loans - Other Personal Loans,Retail / Personal,6.0,11022.09,12.86
FY2024-Q2,Agriculture and Allied Activities,Priority Sector,14.0,21973.0,11.76
FY2024-Q2,Industry - Micro & Small,Priority Sector,6.0,9417.0,13.38
FY2024-Q2,Industry - Medium,Non-Priority Sector,4.0,6278.0,12.61
FY2024-Q2,Industry - Large,Non-Priority Sector,22.0,31076.1,11.78
FY2024-Q2,Services - Transport Operators,Services,3.0,5650.2,11.79
FY2024-Q2,Services - Trade (Wholesale & Retail),Services,8.0,15067.2,12.97
FY2024-Q2,Services - Commercial Real Estate,Services,4.0,7533.6,11.85
FY2024-Q2,Services - NBFCs,Services,11.0,20717.4,12.59
FY2024-Q2,Personal Loans - Housing,Retail / Personal,15.0,28251.0,12.34
FY2024-Q2,Personal Loans - Vehicle Loans,Retail / Personal,5.0,9417.0,12.45
FY2024-Q2,Personal Loans - Credit Cards,Retail / Personal,2.0,3766.8,13.63
FY2024-Q2,Personal Loans - Other Personal Loans,Retail / Personal,6.0,11300.4,13.35
FY2024-Q3,Agriculture and Allied Activities,Priority Sector,14.0,22370.32,12.54
FY2024-Q3,Industry - Micro & Small,Priority Sector,6.0,9587.28,13.79
FY2024-Q3,Industry - Medium,Non-Priority Sector,4.0,6391.52,12.59
FY2024-Q3,Industry - Large,Non-Priority Sector,22.0,31497.41,11.03
FY2024-Q3,Services - Transport Operators,Services,3.0,5790.72,13.86
FY2024-Q3,Services - Trade (Wholesale & Retail),Services,8.0,15441.91,13.44
FY2024-Q3,Services - Commercial Real Estate,Services,4.0,7720.96,12.67
FY2024-Q3,Services - NBFCs,Services,11.0,21232.63,13.56
FY2024-Q3,Personal Loans - Housing,Retail / Personal,15.0,28953.59,12.72
FY2024-Q3,Personal Loans - Vehicle Loans,Retail / Personal,5.0,9651.2,12.44
FY2024-Q3,Personal Loans - Credit Cards,Retail / Personal,2.0,3860.48,13.49
FY2024-Q3,Personal Loans - Other Personal Loans,Retail / Personal,6.0,11581.43,11.95
FY2024-Q4,Agriculture and Allied Activities,Priority Sector,14.0,22767.64,14.26
FY2024-Q4,Industry - Micro & Small,Priority Sector,6.0,9757.56,13.96
FY2024-Q4,Industry - Medium,Non-Priority Sector,4.0,6505.04,13.64
FY2024-Q4,Industry - Large,Non-Priority Sector,22.0,31913.73,15.97
FY2024-Q4,Services - Transport Operators,Services,3.0,5932.6,12.95
FY2024-Q4,Services - Trade (Wholesale & Retail),Services,8.0,15820.26,12.75
FY2024-Q4,Services - Commercial Real Estate,Services,4.0,7910.13,13.49
FY2024-Q4,Services - NBFCs,Services,11.0,21752.85,11.08
FY2024-Q4,Personal Loans - Housing,Retail / Personal,15.0,29662.98,13.88
FY2024-Q4,Personal Loans - Vehicle Loans,Retail / Personal,5.0,9887.66,13.62
FY2024-Q4,Personal Loans - Credit Cards,Retail / Personal,2.0,3955.06,13.96
FY2024-Q4,Personal Loans - Other Personal Loans,Retail / Personal,6.0,11865.19,11.92
